"Seller","Case","Style","Case Length (mm)","Case Width (mm)","Case Height (mm)","Volume (L)","Footprint (cm2)","Weight (kg)","Side Panel","Case Material","CPU Cooler Height (mm)","AIO / Radiator Support","GPU Riser","GPU Length (mm)","GPU Width (mm)","GPU Height / Thickness (mm)","PCIe Slot","LP PCIe Slot","Motherboard","PSU","2.5"" Drive","3.5"" Drive","5.25"" Drive","40 mm Fan","60 mm Fan","80 mm Fan","92 mm Fan","120 mm Fan","140 mm Fan","180 mm Fan","200 mm Fan","USB-A 2.0 I/O","USB-A 3.2 Gen 1 (5Gbps) I/O","USB-C I/O","3.5mm Jack I/O","Price (CNY)","Price (USD)","SFF.Net Link","SFFPC Wiki Link","Status","Last Update",""
"GEEEK","N500 LITE","Classic","289","166","250","11.99","479.74","","Acrylic","Acrylic + Al frame","135","92","-","280","135","65","2","-","mITX","SFX / SFX-L","2","-","-","-","-","-","1","3","-","-","-","-","1","-","-","","69.00","","Link","","",""
"WDEAN DORA","OS1","Sandwich","297","136","297","12.00","403.92","","Glass","Al","60","120 / 240","Y","215","135","54","2","-","mITX","Flex ATX / SFX","","?","-","-","-","-","-","?","-","-","-","-","-","-","-","999.00","138.24","","","Discontinued","03 Jan 2022",""
"电竞艾派官方店","X6","Sandwich","330","140","260","12.01","462.00","","Acrylic","Al","65","120 / 240","Y","320","140","55","2","-","mITX","SFX / SFX-L","2","-","-","-","-","-","-","2","-","-","-","-","1","-","-","209.00","28.92","","","Discontinued","03 Sep 2021",""
"Warhead Design","Dual Cool MKIII","Sandwich","250","130","370","12.03","325.00","","Al","Al","50","120 / 240 / 2 x 240","Y","320","150","60","2","-","mITX","SFX","2","-","-","-","-","-","-","2","-","-","-","-","1","1","-","1,599.00","221.27","","","Discontinued","03 Jan 2022",""
"GEEEK机箱","N501S","Classic","290","166","250","12.04","481.40","3","Acrylic","Acrylic + Al frame","135","-","-","275","135","60","2","-","mITX / mATX (225x205)","SFX / SFX-L","2","-","-","-","-","-","1","1","-","-","-","-","1","-","-","298.00","41.24","","","","30 Apr 2022",""
"AKLLA","A5 Max","Sandwich","190","155","410","12.07","294.50","3.8","Al","2.5-15mm T6 Al + 1-1.5mm SECC Steel","74","120 / 240 /w top hat","Y","360","146","62","2","-","mITX","SFX / SFX-L / ATX","2","0 to 2","-","-","-","-","-","0 to 2","0 to 2","-","-","-","-","1","-","969.00","134.09","","","Discontinued","03 Sep 2021",""
"Mechanic Master","Logicube iF11","Sandwich","355","159","214","12.08","564.45","3.15","Steel","SPCC Steel","67","-","Y","345","","65","3","-","mITX","SFX / SFX-L / ATX","2","0 to 2","-","-","-","-","-","2","-","-","-","-","1","1","Y","349.00","48.29","","","","04 Jan 2024",""
"Jonsbo","C2","Classic","224","200","270","12.10","448.00","1.2","Al","1-1.5mm Al","80","-","-","220","","60","3","-","mITX / mATX (245x215)","ATX","","1 to 2","-","-","-","-","-","0 to 1","0 to 1","-","-","1","1","-","Y","155.00","86.80","","","","",""
"机械库","JXK-M1","Classic","280","160","270","12.10","448.00","2","Acrylic","Al","136","-","-","270","141","60","2","-","mITX / mATX (244x180)","SFX","","0 to 1","-","-","0 to 1","0 to 3","0 to 3","0 to 2","-","-","-","-","-","-","-","299.00","41.37","","","","14 Sep 2023",""
"极致猫电子","Z12","Sandwich","332","149","245","12.12","494.68","","Acrylic / Al","3-4mm 6061 Al","65","120 / 240","Y","332","147","55","2","-","mITX","SFX / SFX-L","4","2","-","-","-","-","-","2","-","-","-","-","-","-","-","499.00","69.05","","","Discontinued","03 Sep 2021",""
"MPCG","M1","Classic","330","160","230","12.14","528.00","","Al","3mm 6061 Al","130","120 / 140 / 240 / 280","-","318","135","60","3","-","mITX","SFX / ATX","2","-","-","-","-","-","-","0 to 2","0 to 2","-","-","-","-","-","-","1,099.00","152.08","","","Discontinued","15 May 2022",""
"Mini Computers","Gecko ITX-M","Sandwich","329","165","224","12.16","542.85","2.23","Al","Al","70","120","Y","323","140","60","3","-","mITX","SFX","2","-","-","-","-","-","-","4","-","-","-","-","2","-","-","","128.04","","","","15 May 2022",""
"Sunmilo Studio","C01","Classic","280","185","235","12.17","518.00","","Glass","Al","160","120","-","277","165","40","2","-","mITX","SFX / SFX-L","2","-","-","-","-","-","-","1","-","-","-","-","1","-","-","899.00","124.40","","","","25 May 2023",""
"Nouvolo","Steck v2.0","Sandwich","343","156","228","12.20","535.08","3.5","Al / Glass","2mm Al + 1mm Steel","72","120 / 240 /w top hat","Y","320","","63","2","-","mITX","SFX / SFX-L","1","-","-","-","-","-","-","4","-","-","-","-","-","-","-","","190.00","Link","","","12 Oct 2022",""
"Warhead Design","Alphs","Classic","315","152","255","12.21","478.80","","Al","1.5-3mm Al","135","120 / 240","-","315","140","60","3","-","mITX / mDTX","SFX","1","0 to 2","-","-","-","2","-","2 to 4","-","-","-","-","-","-","-","599.00","82.89","","","Discontinued","25 May 2023",""
"Goldenfield/金河田","MATE Q1","Classic","283","160","270","12.23","452.80","","Acrylic","Al","125","-","-","268","130","80","4","-","mITX / mATX (244x195)","SFX","","0 to 1","-","-","-","-","1","1 to 2","-","-","-","-","1","-","-","219.00","30.30","","","","25 May 2023",""
