"Seller","Case","Style","Case Length (mm)","Case Width (mm)","Case Height (mm)","Volume (L)","Footprint (cm2)","Weight (kg)","Side Panel","Case Material","CPU Cooler Height (mm)","AIO / Radiator Support","GPU Riser","GPU Length (mm)","GPU Width (mm)","GPU Height / Thickness (mm)","PCIe Slot","LP PCIe Slot","Motherboard","PSU","2.5"" Drive","3.5"" Drive","5.25"" Drive","40 mm Fan","60 mm Fan","80 mm Fan","92 mm Fan","120 mm Fan","140 mm Fan","180 mm Fan","200 mm Fan","USB-A 2.0 I/O","USB-A 3.2 Gen 1 (5Gbps) I/O","USB-C I/O","3.5mm Jack I/O","Price (CNY)","Price (USD)","SFF.Net Link","SFFPC Wiki Link","Status","Last Update",""
"ZS Cases","ZS-OC V1","Open","203","175","373","13.25","355.25","","Al","Al","","120 / 240 / 360","Y","","","","2","-","mITX / mDTX","SFX / SFX-L / ATX","","-","-","-","-","-","-","3","-","-","-","-","-","-","-","599.00","96.25","","Link","","",""
"机械库","JXK-F3 Youth Edition","Classic","340","160","244","13.27","544.00","","Al","1.5-3mm Al","137","120 / 240","-","330","142","60","3","-","mITX / mDTX","SFX / SFX-L","","1","-","-","-","-","1","2","-","-","-","-","-","1","-","599.00","82.89","","","Discontinued","25 May 2023",""
"ZZAW","B2 Plus","Sandwich","333","145","275","13.28","482.85","1.9","Acrylic","Al + Acrylic","59","120 / 240","Y","326","153","57","2","-","mITX","SFX / SFX-L","","0 to 1","-","-","-","-","-","3 to 4","-","-","-","-","2","-","-","498.00","68.91","","","","25 Jun 2022",""
"HZ MOD","ACC X11","Sandwich","323","157","262","13.29","507.11","","Acrylic / Glass","3-5mm Al","56","120 / 240","Y","314","150","60","2","-","mITX","SFX","4","-","-","-","-","-","3","2","-","-","-","-","-","-","-","1,199.00","165.91","","","","07 Sep 2021",""
"Sliger","S610","Classic","344","151","256","13.30","519.44","3.13","Acrylic / Al","2mm 5052 Al + 0.8mm Steel","128","120 / 140 / 240 / 2 x 240 / 280","-","323","133","70","3","-","mITX / mDTX","SFX / SFX-L","","0 to 3","-","-","-","-","1","3 to 5","0 to 2","-","-","-","2","-","-","","229.00","","","Discontinued","25 May 2023",""
"Galaxy Studios","W5","Sandwich","347","146","263","13.32","506.62","5","Al","Al","50","120 / 240","Y","310","","60","3","-","mITX","SFX","2","-","-","-","-","-","-","2","-","-","-","-","1","-","-","2,398.00","331.83","","","","11 Jun 2022",""
"Mechanic Master","C26 (V2)","Classic","315","160","265","13.36","504.00","2.8","Al / Glass","2mm Al + 1mm Steel","135","120 / 240","-","310","140","80","4","-","mITX / mATX","SFX / SFX-L","2","0 to 1","-","-","-","0 to 2","1 to 5","0 to 4","-","-","-","-","2","-","-","599.00","82.89","","","","25 May 2023",""
"Raijintek","Metis Plus","Classic","277","190","254","13.37","526.30","2.12","Acrylic","1.5mm Al + 0.5mm SPCC Steel","160","120","-","267","148","40","2","-","mITX","ATX","","0 to 2","-","-","-","-","-","2","-","-","-","-","2","-","Y","","64.99","","","","02 Jan 2022",""
"SKTC","Q1","Classic","277","190","254","13.37","526.30","2.8","Acrylic / Al / Glass","1.5mm Al + 0.5mm SPCC Steel","160","120","-","267","148","40","2","-","mITX / mATX (226x175)","SFX / ATX","","0 to 2","-","-","-","-","-","1 to 3","-","-","-","-","2","-","Y","199.00","27.54","","","","24 Mar 2022",""
"机械库","JXK-M2","Classic","255","150","350","13.39","382.50","","Al","1.5-3mm Al","131","-","-","250","136","80","4","-","mITX / mATX","SFX / SFX-L","4","1","-","-","-","-","4","-","-","-","-","-","2","-","-","299.00","41.37","","","Discontinued","25 May 2023",""
"深蓝SL","SL-M1","Classic","335","168","238","13.39","562.80","","Acrylic","Al","140","120 / 240","-","320","145","60","2","-","mITX / mATX (225x175)","SFX / SFX-L","","0 to 1","-","-","-","2","-","0 to 1","-","-","-","-","-","-","-","799.00","110.56","","","Discontinued","05 Feb 2022",""
"电竞艾派官方店","X7","Classic","365","160","230","13.43","584.00","","Al","Al","110","120 / 240","-","350","150","55","2","-","mITX","SFX / SFX-L","2","1","-","-","-","-","-","2","-","-","-","-","-","-","-","259.00","35.84","","","Discontinued","03 Sep 2021",""
"AKLLA","A4 Max","Sandwich","340","155","255","13.44","527.00","4.7","Al / Glass","4-15mm 6061 Al","73","120 / 140 / 240 / 280","Y","332","143","59","2","-","mITX","SFX / SFX-L / ATX","3","1","-","-","-","-","-","0 to 2","0 to 2","-","-","-","1","-","-","899.00","124.40","","","","30 Jan 2022",""
"Metalfish","G5 Plus (water cool)","Sandwich","320","140","300","13.44","448.00","1.9","Acrylic / Al","3mm Al","60","120 / 240","Y","300","","50","2","-","mITX","SFX / SFX-L","","0 to 1","-","-","-","-","-","2 to 4","-","-","-","-","2","-","-","499.00","69.05","","","","",""
"Custom_Mod","SX5 13L Liquid Cooling","Sandwich","345","153","256","13.51","527.85","2.4","Al","Al + Steel","57","120 / 140 / 240 / 280","Y","332","","66","3","-","mITX","SFX / SFX-L","2","-","-","-","-","-","0 to 1","0 to 3","0 to 2","-","-","-","-","-","-","","172.82","","","","28 Oct 2023",""
"Metalfish","S5 (V2)","Classic","325","160","260","13.52","520.00","1.6","Glass","2mm Al","135","-","-","310","140","80","4","-","mITX / mATX","SFX / SFX-L","1","0 to 2","-","-","-","-","1 to 3","1 to 2","-","-","-","-","2","-","-","379.00","52.45","","","","13 Jan 2023",""
"Phanteks","Evolv Shift XT (Compact)","Sandwich","371","173","211","13.54","641.83","4.2","Al + Glass","Al + Steel","72","-","Y","324","147","62","3","-","mITX","SFX / SFX-L","1","-","-","-","-","-","-","-","-","-","-","-","1","1","-","","169.99","","","","",""
"Mechanic Master","Logicube iF13","Sandwich","355","159","240","13.55","564.45","3.45","Steel","SPCC Steel","67","120 / 240","Y","345","","65","3","-","mITX","SFX / SFX-L / ATX","3","0 to 2","-","-","-","-","-","2","-","-","-","-","1","1","Y","369.00","51.06","","","","04 Jan 2024",""
"CASELAIR","H'z Mk3s","Classic","280","170","285","13.57","476.00","3.5","Acrylic / Al / Glass","3mm Al","142","-","-","273","147","40","2","-","mITX","SFX / SFX-L","","0 to 1","-","-","-","0 to 2","0 to 1","0 to 1","0 to 1","-","-","-","2","-","-","1,288.00","178.23","","","Discontinued","03 Sep 2021",""
"mcprue","ApolloTwo","Sandwich","357","153","249","13.60","546.21","8.5","Al","6063-T6 Al","61","120 / 240","Y","315","","40","2","-","mITX","SFX","","-","-","-","-","-","-","2 to 3","-","-","-","-","-","2","-","2,099.00","460.00","","","Discontinued","20 Aug 2022",""
"NZXT","H1 (V1)","Sandwich","187.6","187","387.7","13.60","350.81","6.53","Glass / Steel","SGCC Steel","","140","Y","305","145","50","2","-","mITX","SFX / SFX-L","2","-","-","-","-","-","-","-","1","-","-","-","1","1","Y","","349.99","","Link","Discontinued","20 Aug 2022",""
"YTC","M99S","Sandwich","320","135","315","13.61","432.00","4.5","Acrylic","Al","65","120 / 240","Y","318","145","55","2","1","mITX / mATX","Flex ATX","3","0 to 1","-","-","-","-","-","2","-","-","-","-","2","-","Y","228.00","31.55","","","","30 Apr 2022",""
"笨牛机箱","U50","Sandwich","242","157","359","13.64","379.94","1.5","Acrylic","1.5mm Al","71","120 / 140 / 240 / 280","Y","330","140","55","2","-","mITX","SFX / ATX","2","-","-","-","-","-","-","0 to 2","0 to 2","-","-","-","1","1","-","269.00","37.22","","","Discontinued","30 Apr 2022",""
"魔神科技电脑机箱城","MS4","Sandwich","260","160","330","13.73","416.00","2.5","Al","Al","115","-","Y","250","140","50","2","-","mITX / mATX","SFX","3","-","-","-","-","2","-","1","-","-","-","-","-","-","-","380.00","52.58","","","Discontinued","15 May 2022",""
"翼王的藏宝阁","Vector-1 SE","Sandwich","344","153","261","13.74","526.32","2.2","Acrylic","1.5-2mm Al + Steel","68","120 / 140 / 240 / 280","Y","335","140","65","3","-","mITX","SFX / SFX-L","2","0 to 7","-","-","-","-","-","1 to 4","0 to 3","-","-","-","1","-","-","399.00","55.21","","","","",""
"SKTC","HX BOX 100","Classic","328","159","264","13.77","521.52","","Al / Glass","2mm Al","140","-","-","310","145","80","4","-","mITX / mATX","SFX / ATX","1","0 to 1","-","-","-","1","-","2 to 3","-","-","-","-","-","-","-","279.00","38.61","","","Discontinued","",""
"ZZAW","C2","Classic","326","161","262.5","13.78","524.86","1.7","Glass","1.5mm Al","136","-","-","323","141","80","4","-","mITX / mDTX / mATX","SFX / SFX-L / ATX","3","1","-","-","-","-","1 to 6","0 to 3","-","-","-","-","-","-","-","168.00","23.25","","","","15 Apr 2022",""
"魔神科技电脑机箱城","飞优浦 MX1","Classic","262","160","329","13.79","419.20","3.5","Al","Al","124","-","-","250","129","80","4","-","mITX / mATX","SFX","4","-","-","-","-","3","-","1","-","-","-","-","2","-","-","799.00","110.56","","","Discontinued","",""
"ALmordor","Solar 210 SFF","Classic","235","210","280","13.82","493.50","1.2","Al","1-1.2mm Al","85","-","-","230","","60","3","-","mITX / mATX (236x230)","ATX","","0 to 2","-","-","-","-","-","0 to 2","0 to 2","-","0 to 1","1","1","-","Y","","","","","","",""
"Sliger","SM570","Sandwich","357","135","287","13.83","481.95","3.02","Acrylic / Al","2mm 5052 Al + 0.8mm Steel","55","120 / 240","Y","328","157","50","2","-","mITX","SFX / SFX-L","","0 to 6","-","-","-","-","-","0 to 4","-","-","-","-","1","1","Y","","259.00","Link","Link","Discontinued","02 Jan 2022",""
"Deng Studio","F12","Classic","332","167","250","13.86","554.44","4.9","Acrylic / Al / Glass","5-8mm 6061-T6 Al","135","120 / 140 / 240 / 280","-","320","140","55","2","-","mITX","SFX","","0 to 1","-","-","-","1","-","1 to 5","-","-","-","-","-","-","-","1,359.00","188.06","","","","03 Sep 2021",""
"翼王的藏宝阁","Vector-1","Sandwich","343","155","261","13.88","531.65","2","Acrylic","1.5-2mm Al","65","120 / 140 / 240 / 280","Y","330","140","63","3","-","mITX","SFX / SFX-L","2","0 to 7","-","-","-","-","-","1 to 4","0 to 3","-","-","-","2","-","-","539.00","74.59","","","","",""
"Streacom","FC10 Alpha","Console","319","435","100","13.88","1387.65","5.4","Al","4mm 6063 Al","","-","Y","190","","40","2","-","mITX / mATX / ATX","DC-ATX / Flex ATX","","2 to 5","1 (Slot)","-","-","-","-","-","-","-","-","-","2","-","-","","","","","","05 Jun 2022",""
"SGPC","K88 (V2)","Classic","337","156","265","13.93","525.72","3","Glass / Steel","1.5mm SPCC Steel","135","-","-","330","140","80","4","-","mITX / mATX","SFX / ATX","","-","-","-","-","-","3 to 6","0 to 2","-","-","-","-","1","1","-","239.00","33.07","","","","30 Apr 2022",""
"ZZAW","B6 V2","Classic","350","163","245","13.98","570.50","2.906","Al / Glass","1.5-3mm 5052 Al","134","120 / 240","-","337","139","63","2","-","mITX / mDTX","SFX","2","0 to 1","-","-","-","0 to 1","0 to 1","3 to 4","-","-","-","-","1","1","-","798.00","110.43","","","","15 Jun 2022",""
"Dream Case","D33 (V2)","Classic","325","155","278","14.00","503.75","1.65","Steel","Steel","140","-","-","325","145","80","4","-","mITX / mATX","SFX / ATX","2","0 to 1","-","-","-","-","1 to 4","2 to 4","-","-","-","-","1","-","Y","146.00","20.20","","","","25 Jun 2022",""
"Nouvolo","Steck v2.0 (with one top hat)","Sandwich","343","156","262","14.02","535.08","4","Al / Glass","2mm Al + 1mm Steel","72","120 / 240","Y","320","","63","2","-","mITX","SFX / SFX-L","1","-","-","-","-","-","-","4","-","-","-","-","-","-","-","","229.00","Link","","","",""
"Dream Case","D1FX-ATX-240","Sandwich","335","155","270","14.02","519.25","","Steel","Steel","85","120 / 240","Y","335","160","55","2","-","mITX / mDTX / mATX (244x170)","ATX","2","-","-","-","-","-","-","2","-","-","-","-","-","-","-","328.00","45.39","","","Discontinued","03 Sep 2021",""
"Silverstone","ML07","Console","350","105","382","14.04","367.50","3.71","Plastic","Plastic + Steel","83","120 / 240","Y","330","149","68","2","-","mITX / mDTX","SFX / SFX-L","3","1","1 (Slot)","-","-","-","-","3","-","-","-","-","2","-","Y","","87.17","","Link","","24 Mar 2022",""
"Silverstone","RVZ01","Console","350","105","382","14.04","367.50","3.71","Plastic","Plastic + Steel","83","120 / 240","Y","330","149","68","2","-","mITX / mDTX","SFX / SFX-L","3","1","1 (Slot)","-","-","-","-","3","-","-","-","-","2","-","Y","","112.92","","Link","","24 Mar 2022",""
"Silverstone","RVZ01-E","Console","350","105","382","14.04","367.50","3.7","Plastic","Plastic + Steel","83","-","Y","330","149","68","2","-","mITX / mDTX","ATX","4","-","-","-","-","-","-","3","-","-","-","-","2","-","Y","","116.75","","Link","","24 Mar 2022",""
"SFFtime","N-ATX V1","Console","406","98","354","14.08","397.88","3.6","Steel","2.5mm Al + 0.8-1.2mm Steel","79","120 / 140 / 240 / 280 / 360","Y","388","140","82","6","-","mITX / mDTX / mATX / ATX / E-ATX (305x275)","SFX / SFX-L / ATX","9","3","-","-","-","1","-","3","2","-","-","-","2","-","-","","229.00","Link","","","19 Aug 2022",""
"Aerocool","Playa Slim","Classic","420","112","300","14.11","470.40","2.6","Steel","0.5mm Steel","80","-","-","240","70","80","","4","mITX / mATX","SFX","","1 to 2","0 to 1","-","-","2","-","-","-","-","-","-","2","-","Y","","","","","","05 Jun 2022",""
"Silverstone","FTZ01","Console","351","107","376","14.12","375.57","4.6","Al","Al + Steel","83","120 / 240","Y","330","149","68","2","-","mITX / mDTX","SFX / SFX-L","3","1","1 (Slot)","-","-","-","-","3","-","-","-","-","2","-","Y","","159.99","","Link","","24 Mar 2022",""
"Silverstone","FTZ01-E","Console","351","107","376","14.12","375.57","4.49","Al","Al + Steel","83","-","Y","330","149","68","2","-","mITX / mDTX","ATX","4","-","-","-","-","-","-","3","-","-","-","-","2","-","Y","","169.99","","Link","","24 Mar 2022",""
"VALKPC","VF-1","Classic","338","170","246","14.14","574.60","4","Acrylic","3mm Al","130","120 / 140 / 2 x 240 / 2 x 280","-","318","135","60","2","-","mITX / mDTX","SFX","1","-","-","-","-","-","-","2 to 4","0 to 2","-","-","-","-","1","-","","209.00","Link","","","20 Oct 2021",""
"Kolink","Rocket V2","Sandwich","350","150","270","14.18","525.00","2.6","Al","2.5mm Al","63","92","Y","330","","58","2","-","mITX","SFX / SFX-L","2","-","-","-","-","-","1","-","-","-","-","-","1","1","-","","187.59","","","","",""
"Warhead Design","Toriel","Classic","282","185","272","14.19","521.70","","Steel","1.5-3mm Al + 1mm steel","130","-","-","275","135","40","2","-","mITX / mATX","ATX","2","1","-","-","-","1","-","4","-","-","-","-","-","-","-","499.00","69.05","","","Discontinued","",""
"机械库","JXK-F4","Classic","342","166","250","14.19","567.72","3","Al / Glass","1.5-5mm Al","136","120 / 240","-","330","141","60","3","-","mITX / mDTX","SFX / SFX-L","","1","-","-","-","-","1","2","-","-","-","-","2","-","-","868.00","120.11","","","","30 Apr 2022",""
"所及上品 电脑配件 臻","艾罗拉M40","Classic","342","166","250","14.19","567.72","1.7","Glass","Al","120","-","-","280","125","80","4","-","mITX / mATX (245x215)","SFX","1","-","-","-","-","1","-","2","-","-","-","-","1","-","-","179.00","24.77","","","Discontinued","21 Jul 2023",""
"COOJ","Chancellor Z13 (V1)","Classic","335","167","254","14.21","559.45","5","Al","Al","135","120 / 240","-","320","140","61","3","-","mITX","SFX","","-","-","-","-","1 to 2","-","4 to 5","-","-","-","-","1","1","-","1,599.00","249.00","Link","","Discontinued","17 Aug 2023",""
"B-Team Lab","BB1","Sandwich","216.01","170.02","387.04","14.21","367.26","","Al","Al","99","120 / 240","Y","305","","60","2","-","mITX","SFX","","0 to 1","-","-","-","-","-","0 to 2","0 to 2","-","-","-","2","-","Y","","","","","","05 Jun 2022",""
"Silverstone","CS01","Classic","210","210.5","322","14.23","442.05","4.084","Al","Steel","68","-","-","190","74","20","","1","mITX","SFX / SFX-L","2","2","-","-","-","-","-","1","-","-","-","-","2","-","-","","125.00","","","","",""
"Silverstone","CS01-HS","NAS","210","210.5","322","14.23","442.05","4.289","Al","Steel","68","-","-","190","74","20","","1","mITX","SFX / SFX-L","8","-","-","-","-","-","-","1","-","-","-","-","2","-","-","","160.00","","","","",""
"HDPLEX","H5 2nd Gen","Console","356","430","93","14.24","1530.80","8","Al","6063T Al","","-","-","","","40","","1 or 7","mITX / mATX / ATX","DC-ATX / Flex ATX / SFX / ATX","4","2","-","-","-","-","-","-","-","-","-","-","-","1","-","","298.00","","","","",""
"Acat机箱","X2","Classic","330","164","264","14.29","541.20","3.5","Al","6 series Al","138","240 / 280 /w large hat","-","314","148","65","3","-","mITX / mATX","SFX / ATX","6","0 to 2","-","-","-","2","-","2 to 4","0 to 2","-","-","-","-","-","-","1,199.00","165.91","","","","17 Aug 2023",""
"Mechanic Master","C26 Youth Edition","Classic","335","160","267","14.31","536.00","","Glass","1.5-2mm Al","135","120 / 240","-","330","140","80","4","-","mITX / mATX","SFX / SFX-L","","0 to 1","-","-","-","-","1 to 3","1 to 2","-","-","-","-","2","-","-","","","","","Discontinued","15 Jun 2022",""
"INDESIGN STUDIO","IN-0","Classic","231","171","363","14.34","395.01","3","Al","4mm Al","135","-","-","335","140","40","2","-","mITX / mDTX","SFX / SFX-L","","0 to 3","-","-","-","-","2","1","-","-","-","-","-","-","-","1,799.00","248.94","Link","","","",""
"Aerocool","CS-101","Classic","427","112","300","14.35","478.24","2.3","Steel","0.5mm Steel","80","-","-","240","70","80","","4","mITX / mATX","SFX","","1 to 2","0 to 1","-","-","2","-","-","-","-","-","-","2","-","Y","","","","","","05 Jun 2022",""
"ZZAW","B3","Classic","326","161","274.5","14.41","524.86","1.8","Glass","1.5-2mm Al","135","-","-","333","140","89","4","-","mITX / mATX","SFX / SFX-L","","0 to 2","-","-","-","-","1 to 7","0 to 3","-","-","-","-","1","-","-","368.00","50.92","","","","21 Apr 2022",""
"U-NAS","NSC-800","NAS","254","316","180","14.45","802.64","4.5","Al","Steel","40","-","-","","","","1","-","mITX","Flex ATX","3","8","-","-","-","-","-","2","-","-","-","1","-","-","-","","199.00","","","","",""
"Lian Li","Q58","Sandwich","342","170","250","14.54","581.40","","Glass + Mesh","Al + SPCC Steel","67","120 / 140 / 240 / 280","Y","320","150","68.5","3","-","mITX","SFX / SFX-L / ATX","","0 to 1","-","-","-","-","-","1 to 3","0 to 2","-","-","-","1","1","Y","","129.99","","","","01 Feb 2022",""
"InWin","BK623","Classic","322","140","323","14.56","450.80","","Steel","Plastic + Steel","114","-","-","258","119","80","4","-","mITX / mATX","SFX","1","2","1","-","-","-","-","-","-","-","-","2","2","-","Y","","75.00","","","","04 Dec 2022",""
"Dream Case","D1F-M SFX","Classic","330","155","285","14.58","511.50","","Steel","Steel","135","-","-","330","140","80","4","-","mITX / mATX","SFX / SFX-L","2","0 to 2","-","-","-","0 to 1","0 to 1","2 to 4","-","-","-","-","-","-","-","280.00","38.75","","","Discontinued","03 Sep 2021",""
"Silverstone","RVZ03","Console","364","105","382","14.60","382.20","4.05","Steel","Plastic + Steel","83","-","Y","330","149","68","2","-","mITX / mDTX","ATX","4","-","-","-","-","-","-","3","-","-","-","-","2","-","Y","","119.21","","Link","","24 Mar 2022",""
"至尊地带旗舰店","Vikingdom M1S","Sandwich","324","172","262","14.60","557.28","","Glass","?","70","120 / 240","Y","305","135","60","2","-","mITX","SFX","","-","-","-","-","-","-","2","-","-","-","-","-","-","-","1,499.00","207.43","","","Discontinued","12 Feb 2022",""
"SGPC","K88 (V1)","Classic","345","158","268","14.61","545.10","1.77","Glass","1.5-2mm Al","135","-","-","330","140","80","4","-","mITX / mATX","SFX / ATX","","-","-","-","-","-","3 to 6","0 to 2","-","-","-","-","-","-","-","199.00","27.54","","","Discontinued","26 Dec 2021",""
"ssupd","Meshlicious","Sandwich","245","166.4","360","14.68","407.68","3.6","Glass / Mesh","Steel","73","120 / 2 x 120 /140 / 240 / 280","Y","336","155","83","7","-","mITX","SFX / SFX-L / ATX","","0 to 2","-","-","-","-","-","0 to 2","0 to 2","-","-","-","1","1","-","","119.00","Link","","","14 Jun 2023",""
"Dan Cases","C4-SFX V1","Classic","350.2","166","253","14.71","581.33","3.7","Al","1.5mm Al + 1.2mm Steel","145","120 / 140 / 240 / 2 x 240 / 280 / 2 x 280","-","336","145","79","3","-","mITX / mDTX","SFX / SFX-L","2","-","-","-","-","0 to 1","0 to 1","0 to 4","0 to 4","-","-","-","-","1","-","","223.45","Link","","Discontinued","13 Jun 2023",""
"酷冷魔神","X70 Pro","Classic","345","158","270","14.72","545.10","","Acrylic / Steel","1.2-1.5mm Steel","135","120 / 240","-","335","140","80","4","-","mITX / mATX","SFX / SFX-L / ATX","4","1","-","-","-","-","6","2","-","-","-","-","1","1","-","169.00","23.39","","","","",""
"COOJ","Chancellor Z13 (V2)","Classic","340","170","255","14.74","578.00","5","Al","Al","138","120 / 240","-","315","143","65","3","-","mITX","SFX","","0 to 2","-","-","-","-","1 to 2","4 to 5","-","-","-","-","1","1","-","1,599.00","269.00","Link","","","18 Feb 2023",""
"Silverstone","SG07","Classic","350","222","190","14.76","777.00","4.9","Steel","Al + Plastic + SECC Steel","117","-","-","309","122","40","2","-","mITX / mDTX","ATX","2","1","1 (Slim)","-","-","-","-","-","-","-","-","-","2","-","y","","","","","","05 Jun 2022",""
"SKTC","S300 (V1)","Sandwich","334","161","275","14.79","537.74","","Glass","1.5-4mm Al + 0.8mm Steel","60","120 / 240","Y","310","","40","2","-","mITX","SFX","2","1","-","-","-","-","-","2","-","-","-","-","-","-","-","666.00","92.16","","","","24 Mar 2022",""
"Oki","Oki Case","Classic","326","176","258","14.80","573.76","2.8","Al","5052 Al","142","120 / 140 / 240 / 280","-","320","147","58","2","-","mITX","SFX","1","-","-","-","-","-","-","2 to 6","0 to 4","-","-","-","-","1","-","","179.00","","","","20 Dec 2021",""
"Silverstone","SG08","Classic","351","222","190","14.81","779.22","","Steel","Al + Steel","147","-","-","309","122","40","2","-","mITX / mDTX","ATX","2","1","1 (Slim)","-","-","-","-","0 to 1","0 to 1","-","-","-","2","-","y","","","","","","05 Jun 2022",""
"JM Customized","JIMU D+ V2.0 (Package D) (D1-3)","Classic","342","164","264","14.81","560.88","","Mesh","Al + SECC Steel","146","120 / 140 / 240 / 280","-","328","151","80","4","-","mITX / mDTX / mATX","SFX / SFX-L / ATX","","0 to 1","-","-","-","-","1","4 to 6","0 to 2","-","-","-","-","1","-","","445.00","","","","",""
"JM Customized","JIMU D+ V2.0 (Package D) (D4-6)","Sandwich","342","164","264","14.81","560.88","","Mesh","Al + SECC Steel","91","120 / 140 / 240 / 280","Y","336","161","91","4","-","mITX / mDTX","SFX / SFX-L / ATX","","0 to 2","-","-","-","-","-","2 to 4","0 to 2","-","-","-","-","1","-","","415.00","","","","",""
"Cemo / 佑泽企业店","A4","Sandwich","350","158","268","14.82","553.00","","Acrylic / Glass","2-3mm Al","70","120 / 240","Y","340","","48","2","-","mITX","SFX / ATX","","1","-","-","-","-","-","2","-","-","-","-","1","-","-","398.00","55.07","","","Discontinued","22 Nov 2022",""
"Captain S.","V3","Classic","327","165","275","14.84","539.55","","Al / Glass","4-5mm 6061-T6 Al","142","-","-","318","147","80","4","-","mITX / mATX","SFX","3","1","-","-","-","-","1","2 to 3","0 to 1","-","-","-","1","-","-","999.00","138.24","","","","28 Dec 2021",""
"SIXGE Case","K3 PRO","Sandwich","245","166","365","14.84","406.70","5","Al","4-12mm T6 Al","74","120 / 140 / 240 / 280","Y","347","155","68","3","-","mITX / mDTX","SFX / SFX-L / ATX","4","2","-","-","5","-","-","0 to 2","1 to 3","-","-","-","2","1","-","1,198.00","165.78","","","","11 Jun 2022",""
"SpyLabs","JOAT 14.9 V1.1","Classic","325","185","247","14.85","601.25","1.4","Acrylic / Al","2mm 6061 Al","162","120 / 140 / 240 / 280","-","320","167","63","3","-","mITX","SFX / SFX-L","4","1","-","-","-","-","-","2 to 3","4","-","-","-","-","1","-","","127.43","","","Discontinued","",""
"Sharkoon","QB One","Classic","368","225","180","14.90","828.00","3","Al","Steel","150","120 / 240","-","315","155","40","2","-","mITX","SFX / ATX","","0 to 2","-","-","-","0 to 1","-","2","-","-","-","2","2","-","Y","","45.00","","","","",""
"ssupd","Meshroom S","Sandwich","247","167","362","14.93","412.49","3.2","Mesh","Steel","74","120 / 140 / 240 / 280 / 240 + 280","Y","332","152","82","7","-","mITX / mDTX / mATX / ATX","SFX / SFX-L / ATX","","0 to 2","-","-","-","-","-","0 to 5","0 to 2","-","-","-","2","1","-","","159.99","","","","04 Aug 2023",""
"ssupd","Meshroom D","Classic","363","167","247","14.97","606.21","3.2","Mesh","Steel","142","120 / 140 / 240 / 280","-","337","136","69","3","-","mITX / mDTX","SFX / SFX-L / ATX","6","2 to 3","-","-","-","0 to 1","0 to 1","0 to 2","2 to 4","-","-","-","2","1","-","","109.99","","","","01 Aug 2023",""
"Sharkoon","Shark Zone C10","Classic","370","225","180","14.99","832.50","3","Al","Steel","150","120 / 240","-","315","155","40","2","-","mITX","SFX / ATX","","0 to 2","0 to 1","-","-","0 to 1","-","2","-","-","-","-","2","-","y","","65.49","","","","",""
"SFFtime","N-ATX V2","Console","405.5","101","367","15.03","409.56","1.95","Al","1.5mm Al","79","120 / 140 / 240 / 280 / 360","Y","388","163","82","4","-","mITX / mDTX / mATX / ATX","SFX / SFX-L / ATX","","0 to 1","-","-","-","-","-","0 to 3","0 to 2","-","-","-","-","1","-","","199.00","Link","","","28 Mar 2024",""
"Dark Energy Studio","BH","Classic","311","170","285","15.07","528.70","","Acrylic / Glass","3mm Al","130","120","-","305","135","45","2","-","mITX","SFX / SFX-L","4","1","-","-","-","0 to 2","0 to 1","0 to 1","0 to 1","-","-","-","-","-","-","860.00","119.00","","","Discontinued","",""
"Cooler Master","Elite 110","Classic","280","260","208","15.14","728.00","2.65","Steel","Plastic + Steel","76","120","-","210","","40","2","-","mITX","ATX","","0 to 3","-","-","-","2","-","0 to 1","0 to 1","-","-","-","2","-","y","","50.00","","Link","","20 Oct 2022",""
"Mini Computers","Gecko ITX-L","Sandwich","352","163","264","15.15","573.76","2.48","Al","Al","57","120 / 140 / 240 / 280","Y","346","140","70","3","-","mITX","SFX","2","-","-","-","-","-","-","2 to 4","0 to 2","-","-","-","2","-","-","","138.27","","","","15 May 2022",""
"Sliger","SV540","Sandwich","247","154","401","15.25","380.38","4.3","Steel","0.8-1.6mm Steel","55","120 / 140 / 240 / 280","Y","310","160","68","3","-","mITX","SFX / SFX-L","","0 to 2","-","-","-","-","-","0 to 2","0 to 2","-","-","-","-","-","-","","249.00","","Link","Discontinued","",""
"酷冷魔神","X80 Pro","Classic","345","158","280","15.26","545.10","","Acrylic / Steel","1.2-1.5mm Steel","135","120 / 240","-","335","140","80","4","-","mITX / mATX","SFX / SFX-L / ATX","2","1","-","-","-","-","6","2","-","-","-","-","1","1","-","169.00","23.39","","","","23 Jun 2023",""
"SKTC","S300 (V2)","Sandwich","330","160","290","15.31","528.00","","Glass / Mesh","4mm Al","65","120 / 240","Y","320","","60","2","-","mITX","SFX","2","1","-","-","-","-","-","4","-","-","-","-","1","1","Y","599.00","82.89","","","","03 Jan 2022",""
"ZZAW","C2P","Classic","342","161","278.5","15.33","550.62","1.8","Glass","1.5mm Al","136","-","-","328","141","80","4","-","mITX / mDTX / mATX","SFX / SFX-L / ATX","3","1","-","-","-","-","1 to 6","0 to 4","-","-","-","-","1","-","-","199.00","27.54","","","","22 Apr 2022",""
"Acat机箱","Abox one","Sandwich","245","173","362","15.34","423.85","6","Al / Glass","5-12mm Al","77","120 / 140 / 240 / 280","Y","336","165","66","3","-","mITX","SFX / SFX-L / ATX","4","0 to 1","-","-","5","-","-","0 to 2","1 to 3","-","-","-","2","1","-","1,198.00","165.78","","","","15 May 2022",""
