"Seller","Case","Style","Case Length (mm)","Case Width (mm)","Case Height (mm)","Volume (L)","Footprint (cm2)","Weight (kg)","Side Panel","Case Material","CPU Cooler Height (mm)","AIO / Radiator Support","GPU Riser","GPU Length (mm)","GPU Width (mm)","GPU Height / Thickness (mm)","PCIe Slot","LP PCIe Slot","Motherboard","PSU","2.5"" Drive","3.5"" Drive","5.25"" Drive","40 mm Fan","60 mm Fan","80 mm Fan","92 mm Fan","120 mm Fan","140 mm Fan","180 mm Fan","200 mm Fan","USB-A 2.0 I/O","USB-A 3.2 Gen 1 (5Gbps) I/O","USB-C I/O","3.5mm Jack I/O","Price (CNY)","Price (USD)","SFF.Net Link","SFFPC Wiki Link","Status","Last Update",""
"Dream Case","D1FX (V2)","Sandwich","310","130","180","7.25","403.00","","Steel","Steel","62","-","Y","310","142","50","2","-","mITX","SFX / SFX-L","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","238.00","32.93","","","Discontinued","26 Dec 2021",""
"SKTC","A10","Classic","262","92","303","7.30","241.04","2.3","Steel","0.8mm SPCC Steel","73","-","-","?","70","60","-","3","mITX / mATX","Flex ATX","","0 to 1","-","-","-","-","-","-","-","-","-","2","2","-","Y","139.00","19.23","","","","30 Apr 2022",""
"Sliger","DSE Breathe","Sandwich","183.1","115.1","346.9","7.31","210.75","","Al","1.6mm 5052 Al","50","-","Y","322.1","152.2","45.6","2","-","mITX","SFX","","0 to 1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","175.00","Link","","Discontinued","26 Dec 2021",""
"HZ MOD","XQ69 V3","Console","313","69","339","7.32","215.97","","Steel","Q235 Steel","50","120","Y","310","147","48","2","-","mITX","SFX / SFX-L","","-","-","-","-","-","-","0 to 1","-","-","-","-","2","-","-","909.00","125.79","","","Discontinued","09 May 2022",""
"Dream Case","D30 (GPU 55mm thickness edition)","Sandwich","305","135","178","7.33","411.75","1.32","Steel","Steel","56","-","Y","302","150","55","2","-","mITX","SFX / SFX-L","2","0 to 1","-","-","-","-","-","-","-","-","-","-","-","-","-","138.00","19.10","","","Discontinued","",""
"Dream Case","D21 PRO","Sandwich","210","133","263","7.35","279.30","0.96","Steel","Steel","64","-","Y","208","150","44","2","-","mITX / mDTX","SFX / SFX-L","2","0 to 1","-","-","-","-","2","-","-","-","-","-","1","-","Y","118.00","16.33","","","","23 Jun 2022",""
"GEEEK机箱","C2","Sandwich","220","125","268","7.37","275.00","1.7","Acrylic","Al","53","-","Y","260","128","45","2","-","mITX","Flex ATX","1","-","-","-","-","-","4","-","-","-","-","-","1","-","-","298.00","41.24","","","","07 Sep 2021",""
"Captain S.","V6.1","Sandwich","188","142","277","7.39","266.96","","Al / Glass","4mm 6061-T6 Al","72","-","Y","180","?","45","2","-","mITX","SFX / SFX-L","4","-","-","-","-","-","-","1","-","-","-","-","-","-","-","729.00","100.88","","","","03 Sep 2021",""
"SIXGE Case","LGK3S","Sandwich","192","145","266","7.41","278.40","2","Al / Glass","3-4mm 6 Series Al","67","120 /w top hat","Y","185","?","42","2","-","mITX","SFX / SFX-L","6","-","-","-","-","-","-","0 to 1","0 to 1","-","-","-","-","-","-","599.00","82.89","","","Discontinued","06 Jun 2022",""
"Dream Case","D21 68mm CPU Special Edition","Sandwich","210","140","252","7.41","294.00","1.38","Acrylic / Steel","Steel","68","-","Y","208","160","48","2","-","mITX / mDTX","Flex ATX","2","-","-","-","-","0 to 2","0 to 2","-","-","-","-","-","-","-","-","118.00","16.33","","","Discontinued","03 Sep 2021",""
"广州玩家部落","GR-A06","Sandwich","215","138","250","7.42","296.70","","Acrylic","1.5-2mm Al","70","-","Y","210","?","45","2","-","mITX","SFX / SFX-L","3","-","-","-","-","-","-","-","-","-","-","-","1","-","-","169.00","23.39","","","","",""
