"Seller","Case","Style","Case Length (mm)","Case Width (mm)","Case Height (mm)","Volume (L)","Footprint (cm2)","Weight (kg)","Side Panel","Case Material","CPU Cooler Height (mm)","AIO / Radiator Support","GPU Riser","GPU Length (mm)","GPU Width (mm)","GPU Height / Thickness (mm)","PCIe Slot","LP PCIe Slot","Motherboard","PSU","2.5"" Drive","3.5"" Drive","5.25"" Drive","40 mm Fan","60 mm Fan","80 mm Fan","92 mm Fan","120 mm Fan","140 mm Fan","180 mm Fan","200 mm Fan","USB-A 2.0 I/O","USB-A 3.2 Gen 1 (5Gbps) I/O","USB-C I/O","3.5mm Jack I/O","Price (CNY)","Price (USD)","SFF.Net Link","SFFPC Wiki Link","Status","Last Update",""
"Shiny Snake","S300","Sandwich","312","135","193","8.13","421.20","2","Mesh","Al + SPCC Steel","60","-","Y","305","130","55","2","-","mITX","SFX / SFX-L","1","0 to 1","-","-","-","1","-","1","-","-","-","-","1","1","-","299.00","41.37","","","","",""
"Modivio","xCase ME","Console","240","95","360","8.21","228.00","0.8","Acrylic","3D printed ABS","70","-","Y","215","120","46","2","-","mITX","DC-ATX","3","-","-","-","-","4","-","-","-","-","-","-","-","-","-","-","139.00","Link","","Discontinued","02 Jan 2022",""
"Sirius Case / 天狼星机箱","T50 (new)","Sandwich","311","126.5","209.6","8.25","393.42","0.9","Acrylic / Al","1.5-2mm 5052 Al","54","-","Y","307","134","52","2","-","mITX / mDTX","SFX","1","-","-","-","-","-","3","-","-","-","-","-","-","-","-","199.00","27.54","","","","",""
"HG Computers","OSMI","Classic","180","180","255","8.26","324.00","1.4","Al","Al","50","-","-","170","?","40","2","-","mITX","SFX / SFX-L","","0 to 1","1 (Slot)","-","-","-","-","-","1","-","-","-","-","-","-","-","194.99","","","","",""
"GEEEK","A30","Sandwich","244","124","274","8.29","302.56","","Acrylic","Acrylic + Al frame","50","-","Y","211","124","45","2","-","mITX","Flex ATX","2","-","-","-","-","2","-","-","-","-","-","-","2","-","Y","-","49.99","Link","","Discontinued","",""
"YTC","M69 V4","Sandwich","270","128","240","8.29","345.60","3.28","Al","Al","63","-","Y","268","?","52","2","-","mITX / mDTX","1U","","0 to 2","-","-","-","-","2","-","-","-","-","-","2","-","Y","99.00","13.70","","","Discontinued","30 Apr 2022",""
"WDEAN DORA","D1S","Sandwich","322","140","184","8.29","450.80","2.8","Al","Al","65","120 / 240 /w L top hat","Y","308","145","47","2","-","mITX","SFX / SFX-L","","-","-","-","-","-","-","0 to 1","-","-","-","-","-","-","-","886.00","122.60","","","","03 Sep 2021",""
"柏越科技","M12","Console","262","94","337","8.30","246.28","1.9","Acrylic / Steel","1mm Steel","74","-","Y","245","?","40","2","-","mITX / mATX","Flex ATX","","1 to 2","-","-","-","-","-","-","-","-","-","-","2","-","-","155.00","21.45","","","","",""
"malkans","SF8G","Classic","214","159","244","8.30","340.26","0.91","Acrylic","Acrylic","71","-","-","204","135","50","2","-","mITX","SFX","","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","103.69","","","","",""
"ZS Cases","ZS-A4 V3","Sandwich","320","134","194","8.32","428.80","2.1","Al","4mm Al","65","120 / 240 /w top hat","Y","314.5","133","59","2","-","mITX","SFX","","-","-","-","-","-","-","1 to 3","-","-","-","-","-","-","-","900.00","170.00","Link","Link","Discontinued","",""
"SGPC","K66 (V3)","Classic","245","158","215","8.32","387.10","","Glass","1-1.5mm SPCC Steel","135","120","-","220","140","45","2","-","mITX","SFX","2","-","-","-","-","-","2","0 to 1","-","-","-","-","1","1","-","159.00","22.00","","","","06 Jun 2022",""
"KKSB Cases","K1","Sandwich","310","138","195","8.34","427.80","","Al / Glass","1mm Al","54","-","Y","300","?","40","2","-","mITX","SFX","2","-","-","-","3","-","-","-","-","-","-","-","-","-","-","-","169.56","","","","02 Jan 2022",""
"REVOCCASES","RCC-MIT1-XL","Classic","188","161.5","276","8.38","303.62","2","Al","1.5mm 5754 Al","136","-","-","185","141","43","2","-","mITX","SFX / SFX-L","","-","-","-","-","2","-","-","-","-","-","-","-","-","-","-","70.20","Link","","Discontinued","22 Nov 2022",""
"ZS Cases","ZS-A4 V3.2","Sandwich","320","134","196","8.40","428.80","2.1","Al","4mm Al","65","120 / 240 /w top hat","Y","314.5","133","59","2","-","mITX","SFX","","-","-","-","-","-","-","1 to 3","-","-","-","-","-","-","-","849.00","170.00","Link","Link","","03 Sep 2021",""
"Acat机箱","X1","Sandwich","320","140","188","8.42","448.00","2.5","Al","3-4mm Al","67","120 / 240 /w top hat","Y","310","135","48","2","-","mITX","SFX / SFX-L","","0 to 1","-","-","-","-","-","1 to 3","-","-","-","-","-","-","-","698.00","96.59","","","","03 Sep 2021",""
"Dream Case","D1U-27","Sandwich","270","130","240","8.42","351.00","","Acrylic / Steel","1.2mm steel","47","-","Y","270","?","50","2","-","mITX / mDTX","Flex ATX","2","-","-","-","-","-","-","2","-","-","-","-","-","-","-","208.00","28.78","","","Discontinued","",""
"SGPC","K60","Classic","245","158","218","8.44","387.10","","Glass","1.5-2mm Al","135","-","-","240","138","50","2","-","mITX","SFX / SFX-L","3","-","-","-","-","-","2","-","-","-","-","-","-","-","-","199.00","27.54","","","Discontinued","",""
"Jonsbo","T8","Classic","218","160","242","8.44","348.80","3.5","Glass","3mm Al + 1mm SGCC steel","66","-","-","210","?","40","2","-","mITX","SFX / ATX","","0 to 1","-","-","-","-","-","-","1","-","-","-","2","-","-","499.00","92.65","","","","",""
"Louqe","Ghost S1 Mk III (no top hat)","Sandwich","322","140","188","8.48","450.80","2.5","Al","Al + SECC Steel","66","120 / 240 /w L top hat","Y","305","144","45","2","-","mITX","SFX / SFX-L","","-","-","-","-","-","-","0 to 1","-","-","-","-","-","-","-","-","269.00","Link","Link","","23 May 2022",""
"ITX工房","Ghost S1 (clone)","Sandwich","322","140","188","8.48","450.80","2.7","Al","Al + SECC Steel","66","120 / 240 /w top hat","Y","305","144","45","2","-","mITX","SFX / SFX-L","1","-","-","-","-","-","-","0 to 1","-","-","-","-","-","-","-","399.00","55.21","","","","23 Feb 2022",""
"KEVCASES","Ghost S1 (Clone)","Sandwich","322","140","188","8.48","450.80","","Al","Al + SECC Steel","66","120 / 240 /w top hat","Y","305","144","45","2","-","mITX","SFX / SFX-L","2","-","-","-","-","-","-","0 to 1","-","-","-","-","-","-","-","399.00","55.21","","","Discontinued","03 Sep 2021",""
"KEVCASES","V1.2","Sandwich","322","140","188","8.48","450.80","","Al","Al","66","120 / 240 /w top hat","Y","305","144","45","2","-","mITX","SFX / SFX-L","2","-","-","-","-","-","-","0 to 1","-","-","-","-","-","-","-","699.00","96.73","","","Discontinued","03 Sep 2021",""
"小白DIY电脑机箱","DIY A4","Sandwich","306","126","220","8.48","385.56","","Al","3mm Al","52","-","Y","290","120","42","2","-","mITX","SFX / SFX-L","2","-","-","-","-","-","0 to 2","0 to 1","-","-","-","-","2","-","Y","829.00","114.72","","","","",""
"Streacom","FC5 Alpha","Console","325","435","60","8.48","1413.75","4.2","Al","4-10mm 6063 Al","","-","Y","?","?","20","1","-","mITX / mATX / ATX","DC-ATX / Flex ATX","","1 to 3","1 (Slot)","-","-","-","-","-","-","-","-","-","2","-","-","-","","","","","05 Jun 2022",""
"AKLLA","A2","Sandwich","255","155","215","8.50","395.25","","Al","3-15mm Al + 1-2mm SPCC Steel","72","-","Y","250","?","53","2","-","mITX","Flex ATX","3","1","-","-","-","-","0 to 2","0 to 1","0 to 1","-","-","-","-","1","-","599.00","82.89","","","","09 May 2023",""
"魔神科技电脑机箱城","飞优浦 XS2 (new)","Sandwich","208","152","270","8.54","316.16","2.5","Al","Al","73","-","Y","200","135","42","2","-","mITX","SFX / SFX-L","3","-","-","-","-","1","-","1","-","-","-","-","2","-","-","599.00","82.89","","","Discontinued","03 Sep 2021",""
"Sirius Case / 天狼星机箱","T20 / Nova1024","Sandwich","308","136","204","8.55","418.88","1.9","Acrylic / Al / Glass","3mm 6061 Al","55","-","Y","305","130","50","2","-","mITX","SFX / SFX-L","","-","-","-","-","-","3","-","-","-","-","-","-","-","-","382.00","52.86","","","Discontinued","",""
"LZmod","LZ-A4 T31-V2","Sandwich","316","127","213","8.55","401.32","","Al","6061 Al","50.62","-","Y","310","138","50","2","-","mITX","SFX / SFX-L","4","-","-","-","-","2","-","-","-","-","-","-","-","-","-","718.00","99.36","","","Discontinued","",""
"Modivio","xCase L","Console","330","72","360","8.55","237.60","0.8","Acrylic","3D printed ABS","47","-","Y","305","130","42","2","-","mITX","SFX","2","-","-","-","5","-","-","-","-","-","-","-","-","-","-","-","159.00","Link","","Discontinued","02 Feb 2023",""
"Kyle's Studio","Cube X1m","Sandwich","310","138","200","8.56","427.80","2","Acrylic / Al","3mm 6061 Al","65","-","Y","300","135","44.5","2","-","mITX","SFX","","-","-","-","-","-","-","2 to 3","-","-","-","-","-","-","-","749.00","103.64","","","Discontinued","22 Nov 2022",""
"Sirius Case / 天狼星机箱","S40","Sandwich","229","150","250","8.59","343.50","1.4","Acrylic / Al","3mm 6 Series Al","65","-","Y","223","143","60","2","-","mITX","SFX / SFX-L","6","-","-","-","-","-","1","-","-","-","-","-","-","-","-","159.00","22.00","","","","",""
"Warhead Design","Sans (A)","Sandwich","323","130","205","8.61","419.90","","Al","Al","55","120 / 240","Y","315","150","45","2","-","mITX","SFX","2","0 to 1","-","-","-","-","-","1 to 2","-","-","-","-","-","-","-","499.00","69.05","","","Discontinued","01 Dec 2021",""
"Warhead Design","Sans (B)","Sandwich","323","130","205","8.61","419.90","","Al","Al","45","120 / 240","Y","315","150","59","2","-","mITX","SFX","2","0 to 1","-","-","-","-","-","1 to 2","-","-","-","-","-","","-","499.00","69.05","","","Discontinued","01 Dec 2021",""
"Lazer3D","LZX-8","Classic","220","245","160","8.62","539.00","","Acrylic","Acrylic","72","-","-","205","136","48","2","-","mITX","SFX / SFX-L","","0 to 1","-","-","-","-","-","0 to 1","0 to 1","-","-","-","2","1","Y","-","206.99","","","","",""
"SIXGE Case","K3S Plus V3.0","Sandwich","210","138","298","8.64","289.80","3.5","Al / Glass","3-10mm 6063-T6 Al","59","120","Y","208","?","53","2","-","mITX","SFX / SFX-L","4","-","-","-","-","-","-","1","-","-","-","-","-","-","-","798.00","110.43","","","","11 Jun 2022",""
"U-NAS","NSC-400","NAS","254","190","180","8.69","482.60","2.7","Al","Steel","40","-","-","-","-","-","-","-","mITX","Flex ATX","2","4","-","-","-","-","-","1","-","-","-","1","-","-","-","-","149.00","","","","",""
"U-NAS","NSC-401","NAS","255","190","180","8.72","484.50","4","Al","Steel","40","-","-","-","-","-","-","-","mITX","Flex ATX","2","4","-","-","-","-","-","1","-","-","-","2","1","-","Y","-","149.00","","","","",""
"Nouvolo","Steck (no Stack)","Sandwich","315","142","195","8.72","447.30","","Al / Glass","1.5mm Al + Steel","70","-","Y","300","140","42","2","-","mITX","SFX","","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","169.00","Link","","Discontinued","22 Nov 2022",""
"Dark Energy Studio","BH-S","Classic","280","152","205","8.72","425.60","","Acrylic / Al","3-6mm Al","130","-","-","273","118","43","2","-","mITX","SFX / SFX-L","3","-","-","-","-","0 to 2","0 to 1","-","-","-","-","-","1","-","-","880.00","121.77","","","Discontinued","",""
"魔神科技电脑机箱城","飞优浦 XS2 (old)","Sandwich","206","155","275","8.78","319.30","1.7","Al","Al","70","-","Y","200","135","40","2","-","mITX","SFX / SFX-L","3","-","-","-","-","0 to 2","0 to 2","-","-","-","-","-","-","-","-","320.00","44.28","","","Discontinued","",""
"魔神科技电脑机箱城","飞优浦 Ghost S1 (standard)","Sandwich","320","145","190","8.82","464.00","2.5","Al","Al","67","-","Y","310","135","49.5","2","-","mITX","SFX / SFX-L","3","-","-","-","-","-","-","1","-","-","-","-","-","-","-","380.00","52.58","","","","03 Sep 2021",""
"CHCC","A4VPLUS","Sandwich","350","120","210","8.82","420.00","2","Acrylic","Al","55","-","Y","340","?","40","2","-","mITX","SFX","","-","-","-","-","-","-","2","-","-","-","-","-","-","-","148.00","20.48","","","Discontinued","23 Feb 2024",""
"Small Case","Smallest One","Classic","280","149","212","8.84","417.20","3.3","Acrylic / Al / Glass","3-6mm 6061 Al","125","-","-","268","112","40","2","-","mITX","SFX / SFX-L","","0 to 1","-","-","0 to 2","0 to 1","-","-","-","-","-","-","1","-","-","988.00","136.72","","","Discontinued","",""
"机械核芯","Frontier-S","Sandwich","316","140","200","8.85","442.40","","Al","3mm 6 series Al","60","-","Y","308","?","54","2","-","mITX","SFX","4","-","-","3","-","-","-","1","-","-","-","-","-","-","-","668.00","92.44","","","Discontinued","",""
"Faiz机箱","FZ01","Classic","260","148","230","8.85","384.80","","Acrylic","1.5-2.5mm Al","126","-","-","250","131","50","2","-","mITX","SFX","1","-","-","-","-","3","-","-","-","-","-","-","1","-","-","179.00","24.77","","","Discontinued","07 Jan 2023",""
"Critical","CP-1","Sandwich","321","138","201","8.90","442.98","2.4","Al","2mm 5052 Al","47","-","Y","316","155","55","2","-","mITX","SFX","1","-","-","-","-","-","1","1","-","-","-","-","-","-","-","277.00","38.33","","","","30 Apr 2022",""
"MPCG","A4 S1","Sandwich","320","140","200","8.96","448.00","","Al","3mm 6061 Al","60","120 / 240 /w top hat","Y","305","145","50","2","-","mITX","SFX","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1,099.00","152.08","","","Discontinued","",""
"Dream Case","D27 (V2)","Classic","270","155","215","9.00","418.50","1.25","Steel","Steel","135","-","-","267","142","50","2","-","mITX","SFX","2","-","-","-","-","-","1","-","-","-","-","-","2","-","Y","118.00","16.33","","","","23 Jun 2022",""
"Metalfish","Metal Solid","Classic","300","100","300","9.00","300.00","3","Al","3mm Al","60","-","-","245","70","60","-","3","mITX / mATX (245x220)","Flex ATX","2","-","-","-","-","2","-","-","-","-","-","-","2","-","-","399.00","55.21","","","","30 Apr 2022",""
"ZS Cases","ZS-R01","Sandwich","326","131","211","9.01","427.06","2.5","Glass","6061 Al","48","120 / 240","Y","320","132","55","2","-","mITX","SFX","1","-","-","-","-","-","-","2","-","-","-","-","-","-","-","930.00","128.69","","Link","Discontinued","",""
"SGPC","K69","Classic","208","168","258","9.02","349.44","0.7","Glass","1.5-2mm Al","55","-","-","200","133","80","4","-","mITX / mATX (245x201)","ATX","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","219.00","30.30","","","Discontinued","03 Sep 2021",""
"Colin Reay","MK2","Classic","187.5","166","290","9.03","311.25","","Acrylic","Al + Acrylic","139","120 / 140","-","180","125","50","2","-","mITX","SFX / SFX-L","2","-","-","-","-","0 to 1","0 to 1","0 to 1","0 to 1","-","-","-","-","-","-","-","75.00","","","Discontinued","22 Nov 2022",""
"JM Customized","JIMU D+ V2.0 (Basic)","Sandwich","340","140","190","9.04","476.00","2.2","Al","Al + SECC Steel","92","-","Y","337","151","68","2","-","mITX","SFX / SFX-L","","0 to 1","-","-","-","-","-","2","-","-","-","-","-","-","-","1,299.00","205.99","Link","","","15 May 2022",""
"机械库","JXK-J2","Open","205","150","295","9.07","307.50","2","Open","4mm Al","","-","Y","Open","Open","Open","Open","-","mITX / mDTX","SFX / SFX-L","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","299.00","41.37","","","","30 Apr 2022",""
"酷冷魔神","X60","Classic","250","158","230","9.09","395.00","","Acrylic / Steel","1.2mm Steel","135","-","-","240","140","60","2","-","mITX","SFX / SFX-L","2","-","-","-","-","-","3","-","-","-","-","-","1","1","-","159.00","22.00","","","","",""
"笨牛机箱","U35","Classic","255","157","228","9.13","400.35","1.3","Glass","1.5mm Al","135","-","-","247","140","60","2","-","mITX / mDTX","SFX","2","-","-","-","-","-","4","-","-","-","-","-","1","1","-","199.00","27.54","","","","06 Feb 2023",""
"Acat机箱","Acat3","Classic","278","153","215","9.14","425.34","2.5","Acrylic / Al / Glass","3-4mm 6061-T6 Al","125","-","-","271","125","45","2","-","mITX","SFX / SFX-L","","0 to 1","-","-","0 to 2","0 to 1","-","-","-","-","-","-","-","-","-","449.00","62.13","","","Discontinued","03 Sep 2021",""
"Dream Case","D27 (V1)","Classic","270","156","218","9.18","421.20","1.25","Steel","Steel","135","-","-","270","142","50","2","-","mITX","SFX / SFX-L","2","-","-","-","-","-","1","-","-","-","-","0 to 2","0 to 2","-","Y","136.00","18.82","","","Discontinued","25 Jun 2022",""
"臻致设计的工业与艺术","PDL-JX-B1/2/3","Sandwich","345","138","193","9.19","476.10","1.25","Al","3mm 6061 Al","60","-","Y","331","140","56","2","-","mITX","SFX / SFX-L","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","1,799.00","248.94","","","","03 Sep 2021",""
"Louqe","Ghost S1 Mk III (with S top hat)","Sandwich","322","140","204","9.20","450.80","2.5","Al","Al + SECC Steel","66","120 / 240 /w L top hat","Y","305","144","45","2","-","mITX","SFX / SFX-L","","-","-","-","-","-","-","0 to 3","-","-","-","-","-","-","-","-","319.00","Link","Link","","23 May 2022",""
"Ultra Civilz","A4F","Sandwich","308","139","215","9.20","428.12","","Al / Glass","Al","68","-","Y","300","?","45","2","-","mITX","SFX","3","-","-","-","-","-","2","1","-","-","-","-","2","-","-","999.00","138.24","","","Discontinued","",""
"teenage engineering","computer-1","Classic","190","170","285","9.21","323.00","","Al","1mm Al","147","-","-","180","130","40","2","-","mITX","SFX","","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","195.00","","","","30 Jun 2022",""
"Dream Case","D1F-I SFX","Classic","270","155","220","9.21","418.50","1.6","Steel","Steel","135","-","-","270","148","47","2","-","mITX","SFX / SFX-L","2","-","-","-","-","0 to 1","0 to 1","-","-","-","-","-","-","-","-","218.00","30.17","","","Discontinued","03 Sep 2021",""
"旅猫工作室","A4","Console","320","85","340","9.25","272.00","0.5","Acrylic","5mm Acrylic","50","-","Y","310","135","45","2","-","mITX","SFX","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","228.00","31.55","","","Discontinued","30 Apr 2022",""
"Seven.CME","FL-A4","Sandwich","315","140","210","9.26","441.00","","Al","Al","50","-","Y","308","140","54","2","-","mITX","SFX / SFX-L","3","-","-","-","-","-","-","1","-","-","-","-","1","-","-","588.00","81.37","","","Discontinued","03 Sep 2021",""
"Small Case","Bs2 (Air)","Sandwich","320","138","210","9.27","441.60","","Al","3-10mm 6061-T6 Al","62","-","Y","298","125","42","2","-","mITX","SFX","2","-","-","-","-","-","-","2","-","-","-","-","-","-","-","1,299.00","179.75","","","","03 Sep 2021",""
"瑞创意","MC3 / WS19 (299 version)","Sandwich","","","299","9.30","311.03","3.2","Al","6063 / 5052 Al","75","-","Y","242","115","42","2","-","mITX","SFX","2","-","-","0 to 2","-","0 to 1","-","-","1","-","-","-","-","-","-","1,398.00","193.45","","","","",""
"AKLLA","A3 (CNC)","Sandwich","216","155","278","9.31","334.80","3","Al","Al + SECC Steel","75","-","Y","208","150","50","2","-","mITX / mATX (200x205)","Flex ATX / SFX / SFX-L","3","0 to 1","-","-","-","-","-","0 to 1","0 to 1","-","-","-","-","1","-","759.00","105.03","","","","09 Mar 2023",""
"深蓝SL","SL-A4+","Sandwich","336","131","212","9.33","440.16","","Glass","2mm Al","49","120","Y","320","?","40","2","-","mITX","SFX","","-","-","0 to 3","0 to 2","0 to 2","-","0 to 1","-","-","-","-","2","-","-","740.00","102.40","","","Discontinued","",""
"Warhead Design","Micro","Sandwich","315","129","230","9.35","406.35","1.2","Al","Al","55","120 / 240","Y","300","?","52","2","-","mITX","SFX","2","-","-","-","-","-","-","2","-","-","-","-","-","-","-","899.00","124.40","","","Discontinued","30 Apr 2022",""
"深圳好玩数码","Zapustar D02","Sandwich","250","134","280","9.38","335.00","","Acrylic / Al","2mm Al","65","-","Y","240","145","40","2","-","mITX","SFX / SFX-L","","-","-","-","-","-","-","1","-","-","-","-","1","-","-","359.00","49.68","","","Discontinued","11 May 2023",""
"SFFtime","P-ATX V1","Console","380","72","343","9.38","273.60","","Steel","3mm Al + 0.6-1mm steel","53","92 / 120","Y","370","134","62","3","-","mITX / mDTX / mATX / ATX / E-ATX (305x285)","SFX / SFX-L / TFX / Flex ATX","","0 to 2","-","0 to 2","3 to 4","-","0 to 1","0 to 1","-","-","-","-","2","-","-","-","170.00","Link","","Discontinued","06 Feb 2022",""
"LYMOD","Y20","Classic","289","149","218","9.39","430.61","","Acrylic / Al / Glass","3-6mm 6061 Al","120","-","-","280","120","43","2","-","mITX","SFX / SFX-L","2","-","-","-","-","1","-","-","-","-","-","-","1","-","-","980.00","135.61","","","Discontinued","03 Sep 2021",""
"pccooler超频三旗舰店","超频三蜂鸟2","Sandwich","330","150","190","9.41","495.00","2","Acrylic","Al","60","-","Y","325","?","64","3","-","mITX","SFX","1","-","-","-","-","-","-","-","-","-","-","-","1","-","-","259.00","35.84","","","","",""
"Ultra Civilz","A4F-PY","Sandwich","306","143","215","9.41","437.58","","Al / Glass","Al","76","-","Y","300","?","45","2","-","mITX","SFX","3","1","-","-","-","-","2","1","-","-","-","-","-","-","-","869.00","120.25","","","Discontinued","",""
"Metalfish","S3 Plus","Sandwich","240","140","280","9.41","336.00","1.2","Al / Glass","2mm Al","70","-","Y","230","?","40","2","-","mITX","SFX / SFX-L","4","-","-","-","-","-","-","1","-","-","-","-","2","-","-","399.00","55.21","","","","03 Sep 2021",""
"龙猫定制","Black Hole","Sandwich","","","300","9.42","314.16","3.8","Al","Al","65","-","Y","230","110","43","2","-","mITX","SFX","2","-","-","-","-","-","1","0 to 1","0 to 1","-","-","-","-","-","-","1,999.00","276.62","","","Discontinued","03 Sep 2021",""
"Kyle's Studio","K03","Classic","282","147","228","9.45","414.54","","Glass","Al","125","-","-","275","112","46","2","-","mITX","SFX / SFX-L","3","-","-","-","-","-","1","-","-","-","-","-","-","-","-","789.00","109.18","","","Discontinued","",""
"深圳好玩数码","Zapustar M02","Classic","271","158","221","9.46","428.18","","Acrylic / Al","2mm Al","135","-","-","240","140","50","2","-","mITX","SFX","1","-","-","-","-","-","1","-","-","-","-","-","1","-","-","199.00","27.54","","","Discontinued","08 Jan 2022",""
"Salvo Studios","S402","Console","327.0","78.7","368.3","9.48","257.35","","Steel","1.2-1.5mm steel","58","120","Y","316","132","60","3","-","mITX","SFX / SFX-L","","0 to 2","-","-","0 to 3","-","-","-","-","-","-","-","2","-","-","-","200.00","Link","","Discontinued","02 Jan 2022",""
"FormD","T1 V1.1","Sandwich","330","133","216","9.48","438.90","2.5","Mesh","6061 Al","70","120 / 240","Y","312","140","60","3","-","mITX","SFX","1","-","-","-","-","-","-","2","-","-","-","-","-","-","-","-","210.00","Link","Link","Discontinued","29 Jan 2024",""
"REVOCCASES","RCC-DTC1","Classic","273","142","245","9.50","387.66","","Al","Al","125","-","-","270","126","60","2","-","mITX","SFX","","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","","Link","","DIY","02 Feb 2023",""
"臻致设计的工业与艺术","PDL-JX-A1/2/3","Sandwich","345","143","193","9.52","493.35","1.25","Al","3mm 6061 Al","60","-","Y","331","140","56","2","-","mITX","SFX / SFX-L","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","1,499.00","207.43","","","","03 Sep 2021",""
"Norco","ITX-S4","NAS","254","191","197","9.56","485.14","4","Al","Steel","35","-","-","-","-","-","1","-","mITX","Flex ATX","1","4","-","-","-","1","-","-","-","-","-","2","-","-","-","289.00","120.00","","","Discontinued","22 Nov 2022",""
"Chieftec","BT-02B","Classic","240","135","295","9.56","324.00","3.5","Steel","0.6mm SECC steel","","-","-","?","?","20","1","-","mITX","SFX","1","1","1","-","2","1","-","-","-","-","-","-","2","-","Y","-","","","","","30 Aug 2022",""
"深圳好玩数码","Zapustar X02","Sandwich","320","136","220","9.57","435.20","","Acrylic / Al","2mm Al","70","-","Y","300","?","46","2","-","mITX / mDTX (196x170)","SFX","1","-","-","-","-","-","-","2","-","-","-","-","2","-","-","300.00","41.51","","","Discontinued","12 Feb 2022",""
"Mechanic Master","C24 (V1)","Classic","249","155","249","9.61","385.95","2.5","Al / Glass","2mm Al + 1mm steel","130","-","-","245","130","60","3","-","mITX / mATX (225x175)","SFX","","0 to 1","-","-","-","2 to 4","1","0 to 1","-","-","-","-","2","-","-","599.00","82.89","","","Discontinued","08 Feb 2023",""
"SGPC","K70","Classic","276","160","218","9.63","441.60","1.6","Glass","1.5-2mm Al","135","-","-","270","138","50","2","-","mITX","SFX","3","-","-","-","-","2","-","-","-","-","-","-","-","-","-","219.00","30.30","","","","03 Sep 2021",""
"Kolink","Rocket","Sandwich","328","125","235","9.64","410.00","3.5","Al","2mm Al + SECC steel","54","-","Y","310","?","40","2","-","mITX","SFX / SFX-L","2","-","-","-","-","1","-","-","-","-","-","-","2","-","-","-","222.69","","","","02 Jan 2022",""
"Louqe","Ghost S1 Mk III (with M top hat)","Sandwich","322","140","214","9.65","450.80","2.5","Al","Al + SECC Steel","66","120 / 240 /w L top hat","Y","305","144","45","2","-","mITX","SFX / SFX-L","","0 to 2","-","-","-","-","-","0 to 3","-","-","-","-","-","-","-","-","319.00","Link","Link","","23 May 2022",""
"Mini Computers","Gecko ITX-S","Sandwich","311","139","224","9.68","432.29","1.98","Al","Al","52","92","Y","305","140","52","2","-","mITX","SFX","","-","-","-","-","-","0 to 1","2 to 4","-","-","-","-","2","-","-","-","117.15","","","","15 May 2022",""
"Sliger","SM550","Sandwich","335","139","208","9.69","465.65","2.52","Acrylic / Al","2mm 5052 Al + 0.8mm steel","55","92 / 120","Y","305","157","50","2","-","mITX","SFX / SFX-L","","0 to 2","-","-","-","-","-","0 to 2","-","-","-","-","1","1","Y","-","219.00","Link","Link","Discontinued","08 Nov 2021",""
"Thor Zone","Mjolnir","Sandwich","354","131","209","9.69","463.74","3.4","Al / Glass","5mm 6061-T6 Al","53","120 / 240","Y","322","136","46","2","-","mITX","SFX / SFX-L","2","-","-","-","-","-","-","2","-","-","-","-","-","-","-","-","299.00","Link","","","",""
"GEEEK","A50","Sandwich","330","140","210","9.70","462.00","","Acrylic","Acrylic + Al frame","66","-","Y","300","134","50","2","-","mITX","SFX / SFX-L","","-","-","-","-","-","2 to 3","-","-","-","-","-","2","-","-","-","69.00","","","Discontinued","16 Jul 2022",""
"鄰家小匠888","邻家小匠 L55","Classic","313","141","220","9.71","441.33","2.5","Acrylic / Al","Al","120","-","-","?","125","40","2","-","mITX","SFX","1","2","-","-","-","-","-","-","-","-","-","-","1","-","-","169.00","23.39","","","","16 Jul 2022",""
"Sirius Case / 天狼星机箱","T70","Classic","277","159.5","220","9.72","441.82","1","Acrylic / Al","1.5-2mm 5052 Al","139","-","-","273","139","52","2","-","mITX","SFX","","0 to 1","-","-","-","0 to 2","0 to 1","-","-","-","-","-","-","-","-","159.00","22.00","","","","02 Jan 2022",""
"GJ","G-TS1S","Classic","270","160","225","9.72","432.00","","Acrylic","6061 Al","130","-","-","260","120","45","2","-","mITX","SFX","1","-","-","-","-","2","-","-","-","-","-","-","1","-","-","699.00","96.73","","","Discontinued","",""
"SGPC","K49 pro","Sandwich","315","147","210","9.72","463.05","1.9","Al","2-4mm Al","67","-","Y","310","?","40","2","-","mITX","SFX","2","-","-","-","-","-","-","0 to 2","0 to 2","-","-","-","1","1","-","359.00","49.68","","","","22 Jul 2022",""
"魔神科技电脑机箱城","飞优浦 Ghost S1 (air cool)","Sandwich","320","145","210","9.74","464.00","2.5","Al","Al","67","-","Y","310","135","49.5","2","-","mITX","SFX / SFX-L","3","-","-","-","-","-","-","3","-","-","-","-","-","-","-","499.00","69.05","","","","03 Sep 2021",""
