"Seller","Case","Style","Case Length (mm)","Case Width (mm)","Case Height (mm)","Volume (L)","Footprint (cm2)","Weight (kg)","Side Panel","Case Material","CPU Cooler Height (mm)","AIO / Radiator Support","GPU Riser","GPU Length (mm)","GPU Width (mm)","GPU Height / Thickness (mm)","PCIe Slot","LP PCIe Slot","Motherboard","PSU","2.5"" Drive","3.5"" Drive","5.25"" Drive","40 mm Fan","60 mm Fan","80 mm Fan","92 mm Fan","120 mm Fan","140 mm Fan","180 mm Fan","200 mm Fan","USB-A 2.0 I/O","USB-A 3.2 Gen 1 (5Gbps) I/O","USB-C I/O","3.5mm Jack I/O","Price (CNY)","Price (USD)","SFF.Net Link","SFFPC Wiki Link","Status","Last Update",""
"Fractal Design","Meshify C Mini","Classic","395","212","399","33.41","837.40","6.28","Glass","Steel","172","120 / 140 / 240 / 280 / 240 + 280","-","335","177","100","5","-","mITX / mATX","ATX","","0 to 2","-","-","-","-","-","1 to 7","0 to 4","-","-","-","2","-","Y","-","99.99","","","","25 May 2023",""
"Cooler Master","QUBE 500","Classic","380","231","381","33.44","877.80","7.8","Glass / Steel","Plastic + Steel","172","120 / 140 / 240 / 280","-","365","177","140","7","-","mITX / mDTX / mATX / ATX / E-ATX (305x296)","SFX / SFX-L / ATX","3","4","-","-","-","-","-","1 to 9","0 to 8","-","-","-","2","1","Y","-","79.99","","","","",""
"Gamemax","Spark Pro","Classic","413","204","398","33.53","842.52","","Glass","0.6-0.8mm SPCC Steel","168","120 / 240","-","355","173","140","7","-","mITX / mDTX / mATX / ATX","ATX","","0 to 1","-","-","-","-","-","1 to 6","0 to 4","-","-","-","1","1","Y","-","","","","","25 May 2023",""
"Gamemax","MeshBox","Classic","413","204","398","33.53","842.52","","Mesh","0.6-0.8mm SPCC Steel","168","120 / 240","-","355","173","140","7","-","mITX / mDTX / mATX / ATX","ATX","","0 to 1","-","-","-","-","-","1 to 6","0 to 4","-","-","-","1","1","Y","-","","","","","25 May 2023",""
"Cooler Master","MasterBox Q500L","Classic","386","230","381","33.83","887.80","3.81","Acrylic","Plastic + Steel","160","120 / 240","-","360","165","140","7","-","mITX / mATX / ATX","ATX","","0 to 2","-","-","-","-","-","3 to 5","0 to 2","-","-","-","2","-","Y","-","59.99","","","","25 May 2023",""
"Phanteks","Enthoo Evolv ITX","Classic","395","230","375","34.07","908.50","5.4","Acrylic / Steel","Plastic + Steel","200","120 / 140 / 240 / 280","-","330","205","40","2","-","mITX","ATX","1","2","-","-","-","-","-","5","5","-","-","-","2","-","Y","-","87.00","","","","25 May 2023",""
"Phanteks","Enthoo Evolv ITX TG","Classic","395","230","375","34.07","908.50","6","Glass","Plastic + Steel","200","120 / 140 / 240 / 280","-","330","205","40","2","-","mITX","ATX","1","2","-","-","-","-","-","5","5","-","-","-","2","-","Y","-","87.00","","","","25 May 2023",""
"Jonsbo","U4 Pro","Classic","395","205","426","34.50","809.75","","Glass / Steel","0.6-1.2mm Steel","160","120 / 240","-","330","165","140","7","-","mITX / mATX / ATX","ATX","","0 to 1","-","-","-","-","-","5","-","-","-","-","1","1","Y","-","","","","","25 May 2023",""
"Fractal Design","Torrent Nano","Classic","417","222","374","34.62","925.74","6","Glass","Steel","165","120 / 140 / 240 / 280","-","335","170","60","3","-","mITX / mDTX","ATX","","0 to 1","-","-","-","-","-","1 to 5","0 to 4","0 to 1","-","-","2","1","Y","-","119.99","","","","25 May 2023",""
"InWin","A5","Classic","399","215","407","34.91","857.85","5.86","Glass","Al + Plastic + SECC Steel","162","120 / 240","-","340","167","140","7","-","mITX / mATX / ATX / E-ATX (305x279)","ATX","","0 to 2","-","-","-","-","-","5","-","-","-","-","2","1","Y","-","105.00","","","","25 May 2023",""
"Yeston","Cute Pet","Classic","381","326","285","35.40","1242.06","","Glass","Al","120","120 / 240","-","340","125","80","4","-","mITX / mATX","ATX","3","-","-","-","-","-","-","2","-","-","-","-","2","-","Y","799.00","110.56","","","Discontinued","25 May 2023",""
