"Seller","Case","Style","Case Length (mm)","Case Width (mm)","Case Height (mm)","Volume (L)","Footprint (cm2)","Weight (kg)","Side Panel","Case Material","CPU Cooler Height (mm)","AIO / Radiator Support","GPU Riser","GPU Length (mm)","GPU Width (mm)","GPU Height / Thickness (mm)","PCIe Slot","LP PCIe Slot","Motherboard","PSU","2.5"" Drive","3.5"" Drive","5.25"" Drive","40 mm Fan","60 mm Fan","80 mm Fan","92 mm Fan","120 mm Fan","140 mm Fan","180 mm Fan","200 mm Fan","USB-A 2.0 I/O","USB-A 3.2 Gen 1 (5Gbps) I/O","USB-C I/O","3.5mm Jack I/O","Price (CNY)","Price (USD)","SFF.Net Link","SFFPC Wiki Link","Status","Last Update",""
"Mini Computers","Gecko V","Classic","358","153","429","23.50","547.74","4.7","Al / Glass","4mm Al","127","120 / 240 / 360","Optional","346","190","60","3","-","mITX / mATX / ATX","SFX / SFX-L","2","-","-","-","-","-","-","5 to 6","-","-","-","-","2","-","-","-","243.00","","","Discontinued","25 Feb 2022",""
"Gamemax","Abyss ITX","Sandwich","426","170","325","23.54","724.20","5.1","Acrylic / Glass","0.8mm SPCC Steel","50","120 / 240","Y","320","","40","2","-","mITX","SFX","2","-","-","-","-","-","-","4","-","-","-","-","2","-","Y","-","","","","","",""
"Gamemax","Ultra Star","Sandwich","426","170","325","23.54","724.20","5.1","Glass / Steel","0.8mm SPCC Steel","50","120 / 240","Y","320","","40","2","-","mITX","SFX","2","-","-","-","-","-","-","4","-","-","-","-","2","-","Y","-","","","","","",""
"Thermaltake","Core G3","Classic","371","140","454","23.58","519.40","4.2","Acrylic","SPCC Steel","110","120 / 240","Y","310","","40","2","-","mITX / mATX / ATX","SFX","","0 to 2","-","-","-","-","-","3","-","-","-","2","2","-","Y","-","84.99","","","","25 May 2023",""
"Mini Computers","Gecko V V2","Classic","357","153","433","23.65","546.21","4.7","Glass","4mm Al","127","120 / 240 / 360","Y","285","190","60","3","-","mITX / mATX / ATX","SFX / SFX-L","2","-","-","-","-","-","-","6","-","-","-","-","2","-","-","-","228.00","","","","25 Feb 2022",""
"AeroCool","CS-109","Classic","314.8","195","385.4","23.66","613.86","","Glass / Steel","ABS + 0.5mm SPCC Steel","156","120","-","260","161","80","4","-","mITX / mATX","ATX","4","2","-","-","-","-","-","3","-","-","-","2","1","-","Y","-","","","","","25 May 2023",""
"AeroCool","Evo Mini","Classic","314.8","195","385.4","23.66","613.86","","Glass","0.5mm SPCC Steel","156","120","-","260","161","80","4","-","mITX / mATX","ATX","4","2","-","-","-","-","-","3","-","-","-","2","1","-","Y","-","","","","","25 May 2023",""
"AeroCool","CS-107","Classic","340.6","197.5","353","23.75","672.69","","Acrylic","ABS + 0.45mm SPCC Steel","157","120 / 240","-","286","162","80","4","-","mITX / mATX","ATX","2","1","-","-","-","-","-","3","-","-","-","1","1","-","Y","-","","","","","25 May 2023",""
"Lian Li","TU150","Classic","375","203","312","23.75","761.25","3.6","Al / Glass","1.5mm Al + 0.8-1mm SPCC Steel","165","120","-","320","170","60","3","-","mITX / mDTX","SFX / SFX-L","","0 to 1","-","-","-","-","-","4","-","-","-","-","2","1","Y","-","109.99","","","","25 May 2023",""
"ZZAW","C1+","Classic","338","165","428","23.87","557.70","2.7","Glass","1.5-2mm Al","138","120 / 140 / 240 / 280","-","340","143","80","4","-","mITX / mATX","ATX","2","2","-","-","-","-","1","2 to 4","0 to 2","-","-","-","1","1","Y","448.00","61.99","","","","19 Jul 2022",""
"AeroCool","CS-104","Classic","340.6","199","353","23.93","677.79","","Steel","ABS + 0.4mm SPCC Steel","167","120 / 240","-","286","172","80","4","-","mITX / mATX","ATX","2","1","1","-","-","-","-","3 to 4","-","-","-","2","1","-","Y","-","","","","","25 May 2023",""
"AeroCool","CS-106","Classic","340.6","199","353","23.93","677.79","","Steel","ABS + 0.45mm SPCC Steel","167","120","-","286","172","80","4","-","mITX / mATX","ATX","2","1","-","-","-","-","-","4","-","-","-","1","1","-","Y","-","","","","","25 May 2023",""
"AeroCool","CS-105","Classic","355","187","361","23.96","663.85","2.25","Steel","ABS + Acrylic + 0.5mm SPCC Steel","148","120","-","320","153","80","4","-","mITX / mATX","ATX","1","2","1","-","-","3","-","0 to 1","0 to 1","-","-","1","1","-","Y","-","","","","","25 May 2023",""
"Gamemax","Stratos ITX","Sandwich","435","170","325","24.03","739.50","5.1","Acrylic / Glass","0.8mm SPCC Steel","50","120 / 240","Y","320","","40","2","-","mITX","SFX","2","-","-","-","-","-","-","4","-","-","-","-","2","-","Y","-","","","","","",""
"Cubeor","Vault 2","Classic","256","220","429","24.16","563.20","5","Wood","Wood + Steel","195","120 / 140 / 240 / 280 / 360","-","350","200","70.5","3","-","mITX","SFX / SFX-L","","0 to 2","-","-","-","-","-","0 to 3","0 to 2","-","-","-","1","1","Y","-","175.76","","","","25 May 2023",""
"ZZAW","C3P","Classic","425","182","313","24.21","773.50","2.4","Glass","1.5mm Al","151","120 / 240 / 360 / 2 x 360","Optional","410","160","80","4","-","mITX / mDTX / mATX","ATX","4","1","-","-","-","-","1","9","-","-","-","-","1","1","Y","328.00","45.39","","","","07 Jan 2023",""
"InWin","901","Classic","400","173","350","24.22","692.00","6.71","Glass","Al","127","-","-","300","124","40","2","-","mITX","ATX","","0 to 2","1","-","-","-","1","1","-","-","-","-","2","-","Y","-","","","","Discontinued","15 May 2023",""
"Razer","Tomahawk Mini-ITX","Classic","367.2","206.2","321.5","24.34","757.17","5.8","Glass","0.8mm SPCC Steel","165","120 / 240","-","320","170","60","3","-","mITX / mDTX","SFX / SFX-L","3","-","-","-","-","-","-","6","-","-","-","-","2","1","Y","-","179.99","","","","25 May 2023",""
"AeroCool","CS-102","Classic","372","190","345","24.38","706.80","1.9","Steel","0.4mm Steel","150","-","-","240","155","80","4","-","mITX / mATX","ATX","2","3","1","-","-","1","-","1","-","-","-","1","1","-","Y","-","","","","","25 May 2023",""
"G.Skill","Z5i","Sandwich","307.5","190","417.5","24.39","584.25","5.8","Glass","Al","70","120 / 140 / 240 / 280","Y","330","","60","3","-","mITX","SFX","2","0 to 1","-","-","-","-","-","0 to 2","0 to 2","-","-","-","2","1","-","1,380.00","199.99","","","","22 Dec 2021",""
"Jonsbo","UMX3","Classic","358","188","365","24.57","673.04","4.15","Al / Glass","2mm Al + 1-1.2mm SGCC Steel","163","-","-","320","168","80","4","-","mITX / mATX","ATX","4","1","-","-","-","-","-","1","1","-","-","2","2","-","Y","549.00","106.03","","","","25 May 2023",""
"Streacom","F12C","Console","320","440","175","24.64","1408.00","4.4","Al","4mm 6063 Al","135","120 / 140 / 240","-","310","130","140","7","-","mITX / mATX / ATX","ATX","","5 to 12","1 (Slot)","-","-","Variable","Variable","Variable","Variable","-","-","-","2","-","-","-","","","","","05 Jun 2022",""
"Corsair","2000D AIRFLOW","Classic","271","200","458","24.82","542.00","4.5","Mesh","Steel","170","120 / 140 / 240 / 280 / 360","-","365","175","60","3","-","mITX","SFX / SFX-L","3","-","-","-","-","-","-","5 to 8","0 to 2","-","-","-","2","1","Y","-","139.99","","","","25 May 2023",""
"Corsair","2000D RGB AIRFLOW","Classic","271","200","458","24.82","542.00","4.5","Mesh","Steel","170","120 / 140 / 240 / 280 / 360","-","365","175","60","3","-","mITX","SFX / SFX-L","3","-","-","-","-","-","-","5 to 8","0 to 2","-","-","-","2","1","Y","-","199.99","","","","25 May 2023",""
"Raijintek","Ophion Elite","Classic","302","180","458","24.90","543.60","5.1","Mesh","0.8mm SPCC Steel","130","120 / 140 / 240","-","320","135","60","3","-","mITX","SFX / ATX","","0 to 3","-","-","-","1","-","0 to 6","0 to 6","-","-","-","2","1","Y","-","129.99","","","","25 May 2023",""
"Deng Studio","M25","Classic","370","198","340","24.91","732.60","5.5","Glass","Al","165","120 / 140 / 240 / 280","-","","170","100","5","-","mITX / mATX","SFX / ATX","2","2 to 10","-","-","-","-","2","3 to 5","0 to 2","-","-","-","1","-","-","1,759.00","243.41","","","","25 May 2023",""
"Cryorig","TAKU","Console","310","570","142","25.09","1767.00","5.3","Al","2mm Al","48","-","Y","280","134","40","2","-","mITX","SFX / SFX-L","2","1","-","-","-","-","-","-","-","-","-","-","2","-","Y","-","329.99","","","","15 Aug 2023",""
"ALmordor","Sparkle 170M Lite","Classic","410","170","360","25.09","697.00","5","Glass","0.6-1mm SPCC Steel","145","120 / 240","-","360","150","100","5","-","mITX / mATX","ATX","","0 to 1","-","-","-","1","-","3 to 5","-","-","-","-","2","-","Y","-","99.99","","","","25 May 2023",""
"ALmordor","Sparkle 170M Matx","Classic","410","170","360","25.09","697.00","4.35","Glass","1.5mm Al +0.6-1.2mm SPCC Steel","145","120 / 240","-","360","150","100","5","-","mITX / mATX","ATX","","0 to 1","-","-","-","1","-","3 to 5","-","-","-","-","2","-","Y","-","99.99","","","","25 May 2023",""
"ABEE","AS Enclosure RS07","Classic","239","234","450","25.17","559.26","7.3","Al","1.2-25mm Al + SPCC Steel","184","120 / 240","-","315","189","50","2","-","mITX","SFX / SFX-L / ATX","1","1","-","-","-","-","-","0 to 3","0 to 1","-","0 to 1","-","1","1","Y","-","499.00","","","","25 May 2023",""
"Metalfish","T90","Classic","336","226","332","25.21","759.36","3.5","Glass","1.5mm Al","135","120 / 240","-","320","140","80","4","-","mITX / mATX","SFX / SFX-L","2","1","-","-","-","-","2 to 5","4 to 8","-","-","-","-","1","1","Y","218.00","30.17","","","","25 May 2023",""
"Silverstone","LD03","Classic","230","265","414","25.23","609.50","5.34","Glass","Steel","190","2 x 120","-","309","167","48","2","-","mITX / mDTX","SFX / SFX-L","","0 to 1","-","-","-","-","-","2","-","-","-","-","2","-","Y","-","119.99","","","","",""
"Silverstone","LD03-AF","Classic","230","265","414","25.23","609.50","5.22","Glass","Steel","190","2 x 120","-","309","167","48","2","-","mITX / mDTX","SFX / SFX-L","","0 to 1","-","-","-","-","-","2","-","-","-","-","1","1","Y","-","119.99","","","","",""
"Jonsbo","V8","Classic","390","249.5","260","25.30","973.05","5.8","Mesh","2-2.5mm Al + 1mm Steel","195","-","-","330","200","40","2","-","mITX / mDTX","ATX","1","2","-","-","-","-","-","2 to 3","0 to 1","-","1","-","1","1","Y","599.00","83.86","","","","25 May 2023",""
"SKTC","Q3","Classic","360","210","335","25.33","756.00","3.8","Acrylic / Al / Glass","Al + SPCC Steel","180","120 / 240","-","280","185","100","5","-","mITX / mATX","ATX","","1 to 3","-","-","-","-","-","4","-","-","-","-","2","-","Y","299.00","41.37","","","","25 May 2023",""
"Raijintek","Styx","Classic","360","210","335","25.33","756.00","3.8","Acrylic / Al","1.5mm Al + 0.5mm SPCC Steel","180","120 / 240","-","280","185","100","5","-","mITX / mATX","ATX","","1 to 3","1 (Slim)","-","-","-","-","4","-","-","-","-","2","-","Y","-","79.99","","","","25 May 2023",""
"Captain S.","V12","Classic","388","186","355","25.62","721.68","","Al / Glass","4-6mm 6061-T6 Al","165","140 / 280","-","378","170","140","7","-","mITX / mATX / ATX","SFX / ATX","","0 to 1","-","-","-","-","-","?","?","-","-","-","","-","-","1,699.00","235.10","","","","25 May 2023",""
"Metallic Gear","Neo G Mini V2","Classic","380","190","355","25.63","722.00","4.9","Glass","Al + Steel","160","120 / 140 / 240 / 280","-","345","165","60","3","-","mITX","ATX","2","1","-","-","-","-","-","2 to 4","0 to 2","-","-","-","2","-","Y","-","","","","","25 May 2023",""
"Metallic Gear","Neo Mini V2","Classic","380","190","355","25.63","722.00","4.9","Glass","Al + Steel","160","120 / 140 / 240 / 280","-","345","165","40","2","-","mITX","ATX","2","1","-","-","-","-","-","3 to 5","0 to 2","-","-","-","2","-","Y","-","69.99","","","","25 May 2023",""
"Silverstone","PS15","Classic","351","192","381","25.68","673.92","3.52","Glass / Steel","Steel","154","120 + 240","-","314","151","80","4","-","mITX / mDTX / mATX","ATX","","0 to 1","-","-","-","-","-","1 to 5","0 to 3","-","-","-","2","-","Y","-","49.99","","","","",""
"AeroCool","CS-108","Classic","383","189","356","25.77","723.87","","Steel","ABS + 0.45mm SPCC Steel","151","120","-","336","156","80","4","-","mITX / mATX","ATX","3","2","-","-","-","0 to 1","0 to 1","3","-","-","-","1","1","-","Y","-","","","","","25 May 2023",""
"Salvo Studios","S700","Sandwich","393.7","168.3","390.5","25.87","662.50","","Acrylic","Steel","63","2 x 280","Y","","","50","4","-","mITX / mATX / ATX / SSI-EEB","SFX / SFX-L","","0 to 1","-","-","-","-","-","1","4","-","-","-","2","1","Y","-","150.00","","","","18 Feb 2022",""
"Jonsplus","i 100 Pro","Classic","435","194","307","25.91","843.90","6.7","Al / Glass","3mm Al + 1-1.5mm Steel","166","120 / 240 / 280 / 360","Optional","373","160","62","2","-","mITX / mDTX","SFX / ATX","","0 to 1","-","-","-","-","-","0 to 6","0 to 4","-","-","-","1","1","Y","-","269.99","","","","15 May 2023",""
"ABEE","AS Enclosure W1","Classic","360.5","240","300","25.96","865.20","","Al","1.2-3mm Al","150","120 / 240","-","310","155","80","4","-","mITX / mATX","SFX / SFX-L","1","1","-","-","-","2","-","2","-","-","-","-","1","1","Y","-","239.00","","","","25 May 2023",""
"InWin","301","Classic","365","188","379","26.01","686.20","6.57","Glass","SECC Steel","160","120 +240","-","330","165","80","4","-","mITX / mATX","ATX","","0 to 1","-","-","-","-","-","5","-","-","-","-","2","-","Y","-","69.98","","","","25 May 2023",""
"SAMA","IM01 Pro (without top hat)","Classic","391","205","325","26.05","801.55","","Glass","0.7-1mm Steel","166","-","-","355","171","80","4","-","mITX / mATX","SFX / SFX-L / ATX","","0 to 3","-","-","-","-","-","2 to 7","0 to 3","-","-","-","2","1","Y","379.00","85.00","","","","21 Aug 2023",""
"Silverstone","SUGO 17","Classic","451","202","286","26.06","911.02","5.78","Steel","Al + Plastic + Steel","170","120 / 140 / 240 / 280 / 360 / 2 x 360","-","400","174","98","4","-","mITX / mDTX / mATX","SFX / SFX-L / ATX","","0 to 1","-","-","-","4","-","4 to 7","0 to 2","-","-","-","2","1","Y","-","239.99","","","","26 Sep 2023",""
"Lian Li","Dan Cases A3","Classic","442","194","306","26.24","857.48","","Mesh","Steel","165","120 / 140 / 240 / 280 / 360 / 2 x 360","-","430","160","90","4","-","mITX / mATX","SFX / SFX-L / ATX","","?","-","-","-","-","-","4 to 10","0 to 4","-","-","-","2","1","Y","","69.99","","","","",""
"Jonsbo","D30","Classic","401","204","325","26.59","818.04","4.36","Glass","1.5mm Al + 0.6mm Steel","168","120 / 140 / 240 / 2 x 240","-","355","173","80","4","-","mITX / mDTX / mATX","ATX","","0 to 1","-","-","-","-","-","1 to 6","0 to 4","-","-","-","1","1","Y","399.00","109.99","","","","25 May 2023",""
"Fractal Design","Define Nano S","Classic","400","203","330","26.80","812.00","5","Acrylic / Al","Steel","162","120 / 140 / 240 / 280","-","315","167","39","2","-","mITX","ATX","","0 to 2","-","-","-","-","-","2 to 5","0 to 3","-","-","-","2","-","Y","-","56.99","","Link","","25 May 2023",""
"Silverstone","FARA 311","Classic","410","183","360","27.01","750.30","3.48","Steel","Plastic + Steel","156","120 / 140 / 240","-","354","161","80","4","-","mITX / mATX","ATX","","1 to 3","0 to 1","-","-","-","-","1 to 3","0 to 2","-","-","1","2","-","Y","-","69.99","","","","15 May 2023",""
"Fractal Design","Meshify 2 Nano","Classic","384","205","345","27.16","787.20","5.9","Glass","Steel","167","120 / 140 / 240 / 280","-","331","171","57","2","-","mITX / mDTX","ATX","","0 to 1","-","-","-","-","-","1 to 6","0 to 3","-","-","-","2","1","Y","-","99.99","","","","25 May 2023",""
"NZXT","H210","Classic","372","210","349","27.26","781.20","5.9","Glass","SGCC Steel","165","120 + 240","-","325","170","44","2","-","mITX","ATX","","1","-","-","-","-","-","2 to 4","0 to 2","-","-","-","1","1","Y","-","80.00","","","","25 May 2023",""
"NZXT","H210i","Classic","372","210","349","27.26","781.20","5.9","Glass","SGCC Steel","165","120 + 240","-","325","170","44","2","-","mITX","ATX","","1","-","-","-","-","-","2 to 4","0 to 2","-","-","-","1","1","Y","-","109.99","","","","25 May 2023",""
"Chieftec","BX-10B-OP","Classic","415","204","325","27.51","846.60","4.78","Glass","0.6mm SPCC Steel","165","120 / 240","-","380","170","80","4","-","mITX / mATX","ATX","","0 to 1","-","-","-","-","-","1 to 6","0 to 4","-","-","-","1","1","Y","-","83.35","","","","25 May 2023",""
"Nanoxia","Project S Midi Rev B","Console","383","431","167","27.57","1650.73","","Glass","Al","110","120 + 240","-","330","","80","4","-","mITX / mATX","ATX","4","2","-","-","2","-","-","3","-","-","-","-","2","1","Y","-","179.99","","","","",""
"Fractal Design","Define 7 Nano","Classic","390","205","345","27.58","799.50","7.1","Glass / Steel","Al + Steel","167","120 / 140 / 240 / 280","-","331","172","57","2","-","mITX / mDTX","ATX","","0 to 1","-","-","-","-","-","1 to 6","0 to 3","-","-","2","2","1","Y","-","99.99","","","","25 May 2023",""
"Raijintek","Thetis","Classic","360","210","366","27.67","756.00","4.8","Al / Glass","1.5mm Al + 1mm SPCC Steel","170","120 / 240","-","320","175","140","7","-","mITX / mATX / ATX","ATX","2","2","-","-","-","-","-","4","-","-","-","-","2","-","Y","-","","","","","11 Aug 2023",""
"Jonsbo","RM3","Classic","336","215","385","27.81","722.40","7.3","Glass","1.5-4mm Al + 1mm SGCC Steel","170","120","-","310","175","80","4","-","mITX / mATX","ATX","","0 to 2","-","-","-","-","-","2","1","-","-","-","2","-","Y","499.00","109.80","","","","25 May 2023",""
"SKTC","Q5","Classic","360","210","370","27.97","756.00","4.9","Acrylic / Al / Glass","Al + SPCC Steel","170","120 + 240","-","300","175","140","7","-","mITX / mATX / ATX","ATX","2","2","-","-","-","-","-","4","-","-","-","-","2","-","Y","379.00","52.45","","","","25 May 2023",""
"Corsair","250D","Classic","351","277","290","28.20","972.27","4.42","Al","Al + Steel","140","120 / 140 / 240","-","290","145","40","2","-","mITX","ATX","","0 to 2","1","-","-","2","-","1 to 3","0 to 1","-","0 to 1","-","2","-","Y","-","89.99","","","","25 May 2023",""
"Gamemax","Spark","Classic","413","204","337","28.39","842.52","","Glass","0.6-0.8mm SPCC Steel","168","120 / 240","-","355","173","80","4","-","mITX / mDTX / mATX","ATX","","0 to 1","-","-","-","-","-","1 to 6","0 to 4","-","-","-","1","1","Y","-","","","","","25 May 2023",""
"Cooler Master","Q300L V2","Classic","370","210","370","28.75","777.00","4.35","Glass","Plastic + Steel","159","120 / 240","-","360","164","80","4","-","mITX / mATX","ATX","2","1","-","-","-","-","-","4 to 6","0 to 2","-","-","-","2","1","Y","-","59.99","","","","04 Sep 2023",""
