Brand,Cooler,Type,Length (mm),Width (mm),Height (mm),Weight (g),Heatsink Material,Heatpipes,TDP (W),RAM Clearance (mm),Fans,Fan Size (mm),Max Fan Speed (RPM),Max Air Flow (CFM),Max Static Pressure (mmH2O),Max Noise (dB(A)),AMD FM1 / FM2(+) / AM2(+) / AM3(+),AMD AM4 / AM5,Intel 775,Intel 115X / 1200,Intel 1366,Intel 1700,Intel 2011 / 2066,Remarks
Scythe,Big Shuriken 2 Rev. B,Top Down,125,135,58,410,Al,5,?,38,1,120x120x12,2000,45.47,1.35,33.67,Y,-,Y,Y,Y,?,Y,
Scythe,Shuriken 2,Top Down,94,93,58,350,Al,4,100,No limit,1,92x92x15,2500,41.30,?,23.20,-,Y,-,Y,-,Y,-,
Silverstone,AR06,Top Down,92,105,58,263,Al,4,95,No limit,1,92x92x15,2500,40.20,?,28.30,Y,-,-,Y,-,?,-,
Thermalright,AXP-100-Full Copper,Top Down,121,108,58,640,Copper,6,180,35,1,108x101x14,2500,44.50,1.60,30.00,-,Y,Y,Y,Y,Y,Y,
Reeven,Brontes,Top Down,114,105,59,325,Al,4,?,?,1,100x100x12,2200,30.39,1.47,31.67,Y,Y,Y,Y,Y,?,-,
Cooler Master,I70C,Top Down,120,120,60,430,Al,-,?,No limit,1,120x120x25,1800,37.00,1.33,28.00,-,-,-,Y,-,?,-,
Alpenfohn,Blackridge (High profile/Dual fan mode),Top Down,140,120,62,438,Al,6,95,33,2,92x92x15 + 120x120x15,2800,47.10,?,37.60,-,Y,-,Y,-,Y,-,Use any 120mm slim 15mm fan
Jonsbo,HX6200D Black,Top Down,120,120,63,500,Al,6,200,No limit,1,120x120x15,1800,62.00,2.00,29.70,-,Y,-,Y,-,Y,-,
Jonsbo,HX6200D White,Top Down,120,120,63,500,Al,6,200,No limit,1,120x120x15,1800,62.00,2.00,29.70,-,Y,-,Y,-,Y,-,
ID-Cooling,IS-60 EVO ARGB,Top Down,120,122,64,650,Al,6,130,No limit,2,92x92x15 + 120x120x15,2000,54.60,?,31.20,-,Y,-,Y,-,Y,-,
ID-Cooling,IS-6K,Top Down,120,122,64,650,Al,6,130,No limit,2,92x92x15 + 120x120x15,2000,54.60,?,31.20,-,Y,-,Y,-,?,-,
Arctic,Alpine 23,Top Down,98.6,121,65,275.5,Al,-,?,No limit,1,92x92x25,2000,?,?,35.80,-,Y,-,-,-,-,-,
Arctic,Alpine 23 CO,Top Down,98.6,121,65,275.5,Al,-,?,No limit,1,92x92x25,2700,?,?,35.80,-,Y,-,-,-,-,-,
Noctua,NH-L9x65,Top Down,95,95,65,413,Al,4,Note,No limit,1,92x92x14,2500,33.90,2.11,23.60,Y,Y,-,Y,-,Y,Y,
Thermalright,AXP-100 C65,Top Down,121,108,65,660,Copper,6,180,34,1,108x101x14,2500,44.50,1.60,30.00,-,Y,Y,Y,Y,Y,Y,
Thermalright,AXP-100H Muscle,Top Down,119,105,65,350,Al,6,180,34.5,1,108x101x14,2500,44.50,1.60,30.00,Y,Y,Y,Y,Y,Y,-,
Thermalright,AXP-100RH,Top Down,121,105,65,360,Al,6,180,34.15,1,108x101x14,2500,44.50,1.60,30.00,Y,Y,Y,Y,Y,Y,Y,
Noctua,NH-L12 (Low profile mode),Top Down,150,128,66,680,Al,4,Note,48,1,92x92x25,1600,37.90,1.61,17.60,Y,Y,Y,Y,Y,Y,Y,
Noctua,NH-L12 Ghost S1 Edition,Top Down,150,128,66,500,Al,4,Note,48,1,92x92x25,1600,37.90,1.61,17.60,Y,Y,-,Y,-,Y,Y,
DeepCool,AN600,Top Down,122,120,67,628,Al,6,180,40,1,120x120x15,1850,60.94,2.61,24.20,-,Y,-,Y,-,Y,-,
Scythe,Big Shuriken 3 Rev.B,Top Down,122,122,67,490,Al,5,?,No limit,1,120x120x15,1800,48.00,1.36,27.80,Y,Y,-,Y,-,Y,Y,
Thermalright,AXP120-X67,Top Down,123.5,120,67,490,Al,6,165,No limit,1,120x120x15,1800,59.00,1.36,26.10,-,Y,-,Y,-,Y,Y,
Thermalright,AXP120-X67 BLACK ARGB,Top Down,123.5,120,67,490,Al,6,165,No limit,1,120x120x15,1800,59.00,1.36,26.10,-,Y,-,Y,-,Y,Y,
Thermalright,AXP120-X67 WHITE ARGB,Top Down,123.5,120,67,490,Al,6,165,No limit,1,120x120x15,1800,59.00,1.36,26.10,-,Y,-,Y,-,Y,Y,
Raijintek,Pallas,Top Down,150,153,68,420,Al,6,?,39,1,150x140x13,1400,56.55,1.24,28.00,Y,Y,Y,Y,Y,Y,Y,
Raijintek,Pallas 120 (RGB),Top Down,146.8,130,68,550,Al,6,?,39,1,120x120x13,1400,41.71,0.67,28.43,Y,Y,Y,Y,Y,?,Y,
Arctic,Alpine 12 Passive,Top Down,95,95,69,508,Al,-,47,No limit,1,-,-,-,-,-,-,-,-,Y,-,?,-,Passive
Intel,Laminar RH1,Top Down,103,103,69,450,Al,-,65,No limit,1,92x92x25,3000,?,?,36.00,-,-,-,-,-,Y,-,
Scythe,Big Shuriken 3,Top Down,122,122,69,475,Al,5,?,No limit,1,120x120x17,1800,50.79,1.35,30.40,Y,Y,Y,Y,Y,Y,Y,
Scythe,Big Shuriken 3 RGB,Top Down,122,122,69,475,Al,5,?,No limit,1,120x120x17,1800,50.79,1.35,30.40,Y,Y,Y,Y,Y,Y,Y,
AMD,Wraith Spire,Top Down,?,?,70,?,Al,-,?,No limit,1,92x92x25,?,?,?,?,-,Y,-,-,-,-,-,
Arctic,Alpine AM4 Passive,Top Down,99,99,70,557,Al,-,47,No limit,1,-,-,-,-,-,-,Y,-,-,-,-,-,Passive
Noctua,NH-L12S (Low profile mode),Top Down,146,128,70,520,Al,4,Note,35,1,120x120x15,1850,55.50,1.53,23.90,Y,Y,-,Y,-,Y,Y,
